School Year,School ID,School Name,Test,# Students,Average Composite Score,Average EBRW Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2016-2017,400010,ACE TECH HS,PSAT 9,72,727,354,373,11.1, , , , , , , , , , 
2016-2017,400010,ACE TECH HS,PSAT 10,66,773,380,392,9.1, , , , , , , , , , 
2016-2017,400010,ACE TECH HS,SAT,78,848,426,422,6.4,55.1,39.7,3.8,1.3,5.1,67.9,26.9,5.1,0,5.1
2016-2017,400010,ACE TECH HS,Combined,216, , , ,8.8, , , , , , , , , , 
2016-2017,400013,ASPIRA - EARLY COLLEGE HS,PSAT 9,110,761,377,383,21.8, , , , , , , , , , 
2016-2017,400013,ASPIRA - EARLY COLLEGE HS,PSAT 10,83,812,396,416,15.7, , , , , , , , , , 
2016-2017,400013,ASPIRA - EARLY COLLEGE HS,SAT,95,849,435,413,9.5,48.4,45.3,6.3,0,6.3,68.4,26.3,5.3,0,5.3
2016-2017,400013,ASPIRA - EARLY COLLEGE HS,Combined,288, , , ,16, , , , , , , , , , 
2016-2017,400022,CHIARTS HS,PSAT 9,156,885,453,432,53.2, , , , , , , , , , 
2016-2017,400022,CHIARTS HS,PSAT 10,145,929,486,443,51, , , , , , , , , , 
2016-2017,400022,CHIARTS HS,SAT,153,995,519,475,44.4,13.1,49.7,24.8,12.4,37.3,37.3,39.2,22.2,1.3,23.5
2016-2017,400022,CHIARTS HS,Combined,454, , , ,49.6, , , , , , , , , , 
2016-2017,400032,CICS - ELLISON HS,PSAT 9,113,731,362,368,7.1, , , , , , , , , , 
2016-2017,400032,CICS - ELLISON HS,PSAT 10,112,811,412,398,10.7, , , , , , , , , , 
2016-2017,400032,CICS - ELLISON HS,SAT,83,885,461,424,13.3,32.5,53,13.3,1.2,14.5,65.1,33.7,1.2,0,1.2
2016-2017,400032,CICS - ELLISON HS,Combined,308, , , ,10.1, , , , , , , , , , 
2016-2017,400033,CICS - LONGWOOD,PSAT 9,110,722,359,362,10, , , , , , , , , , 
2016-2017,400033,CICS - LONGWOOD,PSAT 10,105,774,380,394,6.7, , , , , , , , , , 
2016-2017,400033,CICS - LONGWOOD,SAT,122,842,440,402,4.9,40.2,53.3,6.6,0,6.6,74.6,23,2.5,0,2.5
2016-2017,400033,CICS - LONGWOOD,Combined,337, , , ,7.1, , , , , , , , , , 
2016-2017,400034,CICS - NORTHTOWN HS,PSAT 9,259,824,405,419,36.3, , , , , , , , , , 
2016-2017,400034,CICS - NORTHTOWN HS,PSAT 10,223,887,451,436,41.3, , , , , , , , , , 
2016-2017,400034,CICS - NORTHTOWN HS,SAT,189,966,495,471,41.8,23.8,42.3,30.2,3.7,33.9,40.2,36.5,22.2,1.1,23.3
2016-2017,400034,CICS - NORTHTOWN HS,Combined,671, , , ,39.5, , , , , , , , , , 
2016-2017,400035,CHICAGO MATH & SCIENCE HS,PSAT 9,78,862,402,460,52.6, , , , , , , , , , 
2016-2017,400035,CHICAGO MATH & SCIENCE HS,PSAT 10,83,888,434,454,39.8, , , , , , , , , , 
2016-2017,400035,CHICAGO MATH & SCIENCE HS,SAT,87,1018,495,523,54,17.2,50.6,28.7,3.4,32.2,21.8,32.2,39.1,6.9,46
2016-2017,400035,CHICAGO MATH & SCIENCE HS,Combined,248, , , ,48.8, , , , , , , , , , 
2016-2017,400036,CHICAGO VIRTUAL,PSAT 9,44,842,430,413,43.2, , , , , , , , , , 
2016-2017,400036,CHICAGO VIRTUAL,PSAT 10,36,847,425,422,36.1, , , , , , , , , , 
2016-2017,400036,CHICAGO VIRTUAL,SAT,43,899,467,432,25.6,39.5,32.6,23.3,4.7,27.9,58.1,32.6,9.3,0,9.3
2016-2017,400036,CHICAGO VIRTUAL,Combined,123, , , ,35, , , , , , , , , , 
2016-2017,400051,NOBLE - NOBLE HS,PSAT 9,184,876,425,451,53.8, , , , , , , , , , 
2016-2017,400051,NOBLE - NOBLE HS,PSAT 10,159,951,471,479,64.8, , , , , , , , , , 
2016-2017,400051,NOBLE - NOBLE HS,SAT,132,1036,510,526,56.1,14.4,50.8,30.3,4.5,34.8,13.6,42.4,38.6,5.3,43.9
2016-2017,400051,NOBLE - NOBLE HS,Combined,475, , , ,58.1, , , , , , , , , , 
2016-2017,400052,NOBLE - COMER,PSAT 9,263,778,371,407,19.8, , , , , , , , , , 
