School Year,School ID,School Name,Test,# Students,Average Composite Score,# Students with EBRW Score,Average EBRW Score,# Students with Math Score,Average Math Score,% Meeting College Readiness Benchmark,% Partially Met State EBRW Standards,% Approached State EBRW Standards,% Met State EBRW Standards,% Exceeded State EBRW Standards,% Met or Exceeded State EBRW Standards,% Partially Met State Math Standards,% Approached State Math Standards,% Met State Math Standards,% Exceeded State Math Standards,% Met or Exceeded State Math Standards
2017-2018,400010,ACE TECH HS,PSAT 9,45,699,45,348,45,351,13.3, , , , , , , , , , 
2017-2018,400010,ACE TECH HS,PSAT 10,57,761,57,382,57,379,10.5, , , , , , , , , , 
2017-2018,400010,ACE TECH HS,SAT,61,808,61,413,61,395,4.9,60.7,37.7,1.6,0,1.6,77,19.7,3.3,0,3.3
2017-2018,400010,ACE TECH HS,Combined,163, , , , , ,9.2, , , , , , , , , , 
2017-2018,400013,ASPIRA - EARLY COLLEGE HS,PSAT 9,71,724,71,360,71,364,9.9, , , , , , , , , , 
2017-2018,400013,ASPIRA - EARLY COLLEGE HS,PSAT 10,105,786,105,390,105,396,17.1, , , , , , , , , , 
2017-2018,400013,ASPIRA - EARLY COLLEGE HS,SAT,87,842,87,427,87,,8,58.6,32.2,8,1.1,9.2,70.1,25.3,4.6,0,4.6
2017-2018,400013,ASPIRA - EARLY COLLEGE HS,Combined,263, , , , , ,12.2, , , , , , , , , , 
2017-2018,400022,CHIARTS HS,PSAT 9,152,888,152,456,152,432,57.9, , , , , , , , , , 
2017-2018,400022,CHIARTS HS,PSAT 10,153,917,153,477,153,440,47.7, , , , , , , , , , 
2017-2018,400022,CHIARTS HS,SAT,137,984,137,517,137,466,43.1,12.4,47.4,29.9,10.2,40.1,41.6,42.3,13.9,2.2,16.1
2017-2018,400022,CHIARTS HS,Combined,442, , , , , ,49.8, , , , , , , , , , 
2017-2018,400032,CICS - ELLISON HS,PSAT 9,89,734,89,366,89,369,11.2, , , , , , , , , , 
2017-2018,400032,CICS - ELLISON HS,PSAT 10,85,773,85,391,85,382,7.1, , , , , , , , , , 
2017-2018,400032,CICS - ELLISON HS,SAT,109,831,109,426,109,405,3.7,54.1,41.3,4.6,0,4.6,72.5,26.6,0.9,0,0.9
2017-2018,400032,CICS - ELLISON HS,Combined,283, , , , , ,7.1, , , , , , , , , , 
2017-2018,400033,CICS - LONGWOOD,PSAT 9,106,754,106,379,106,375,19.8, , , , , , , , , , 
2017-2018,400033,CICS - LONGWOOD,PSAT 10,119,765,119,394,119,371,10.1, , , , , , , , , , 
2017-2018,400033,CICS - LONGWOOD,SAT,106,806,106,413,106,393,2.8,59.4,37.7,2.8,0,2.8,80.2,18.9,0.9,0,0.9
2017-2018,400033,CICS - LONGWOOD,Combined,331, , , , , ,10.9, , , , , , , , , , 
2017-2018,400034,CICS - NORTHTOWN HS,PSAT 9,251,819,251,405,251,413,37.8, , , , , , , , , , 
2017-2018,400034,CICS - NORTHTOWN HS,PSAT 10,239,856,239,428,239,428,34.3, , , , , , , , , , 
2017-2018,400034,CICS - NORTHTOWN HS,SAT,207,953,207,481,207,472,36.7,27.5,48.8,18.8,4.8,23.7,37.7,42.5,18.8,1,19.8
2017-2018,400034,CICS - NORTHTOWN HS,Combined,697, , , , , ,36.3, , , , , , , , , , 
2017-2018,400035,CHICAGO MATH & SCIENCE HS,PSAT 9,86,843,86,404,86,438,45.3, , , , , , , , , , 
2017-2018,400035,CHICAGO MATH & SCIENCE HS,PSAT 10,77,915,77,446,77,469,50.6, , , , , , , , , , 
2017-2018,400035,CHICAGO MATH & SCIENCE HS,SAT,82,1012,82,492,83,518,47.6,30.1,36.1,24.1,8.4,32.5,25.3,30.1,34.9,9.6,44.6
2017-2018,400035,CHICAGO MATH & SCIENCE HS,Combined,245, , , , , ,47.8, , , , , , , , , , 
2017-2018,400036,CHICAGO VIRTUAL,PSAT 9,47,825,47,428,47,398,36.2, , , , , , , , , , 
2017-2018,400036,CHICAGO VIRTUAL,PSAT 10,46,888,46,457,46,431,39.1, , , , , , , , , , 
2017-2018,400036,CHICAGO VIRTUAL,SAT,27,943,27,493,27,450,25.9,29.6,37,25.9,7.4,33.3,51.9,33.3,11.1,3.7,14.8
2017-2018,400036,CHICAGO VIRTUAL,Combined,120, , , , , ,35, , , , , , , , , , 
2017-2018,400051,NOBLE - NOBLE HS,PSAT 9,181,876,181,439,181,437,50.8, , , , , , , , , , 
2017-2018,400051,NOBLE - NOBLE HS,PSAT 10,173,1012,173,500,173,511,75.1, , , , , , , , , , 
2017-2018,400051,NOBLE - NOBLE HS,SAT,146,1050,146,510,146,541,59.6,8.9,54.1,32.2,4.8,37,14.4,33.6,45.2,6.8,52.1
2017-2018,400051,NOBLE - NOBLE HS,Combined,500, , , , , ,61.8, , , , , , , , , , 
2017-2018,400052,NOBLE - COMER,PSAT 9,228,811,228,393,228,419,36.4, , , , , , , , , , 
2017-2018,400052,NOBLE - COMER,PSAT 10,203,877,203,437,203,441,43.3, , , , , , , , , , 
2017-2018,400052,NOBLE - COMER,SAT,165,943,165,471,165,472,30.9,27.9,50.9,20.6,0.6,21.2,35.2,43.6,21.2,0,21.2
2017-2018,400052,NOBLE - COMER,Combined,596, , , , , ,37.2, , , , , , , , , , 
2017-2018,400053,NOBLE - GOLDER HS,PSAT 9,183,858,183,423,183,435,51.9, , , , , , , , , , 
2017-2018,400053,NOBLE - GOLDER HS,PSAT 10,157,943,157,481,157,462,62.4, , , , , , , , , , 
2017-2018,400053,NOBLE - GOLDER HS,SAT,149,1023,149,508,149,516,61.1,10.7,57.7,24.8,6.7,31.5,18.8,38.9,38.3,4,42.3
2017-2018,400053,NOBLE - GOLDER HS,Combined,489, , , , , ,58.1, , , , , , , , , , 
2017-2018,400054,NOBLE - PRITZKER HS,PSAT 9,263,898,263,436,263,462,55.1, , , , , , , , , , 
2017-2018,400054,NOBLE - PRITZKER HS,PSAT 10,267,993,267,499,267,494,76.4, , , , , , , , , , 
2017-2018,400054,NOBLE - PRITZKER HS,SAT,203,1067,203,521,203,546,71.4,10.3,43.3,41.4,4.9,46.3,10.8,33,51.2,4.9,56.2
2017-2018,400054,NOBLE - PRITZKER HS,Combined,733, , , , , ,67.4, , , , , , , , , , 
2017-2018,400055,NOBLE - RAUNER HS,PSAT 9,186,856,186,422,186,434,45.2, , , , , , , , , , 
2017-2018,400055,NOBLE - RAUNER HS,PSAT 10,145,918,145,458,145,460,51.7, , , , , , , , , , 
2017-2018,400055,NOBLE - RAUNER HS,SAT,157,1018,157,505,157,513,53.5,13.4,51.6,30.6,4.5,35,16.6,47.1,36.3,0,36.3
2017-2018,400055,NOBLE - RAUNER HS,Combined,488, , , , , ,49.8, , , , , , , , , , 
2017-2018,400056,NOBLE - ROWE CLARK HS,PSAT 9,130,758,130,377,130,381,21.5, , , , , , , , , , 
2017-2018,400056,NOBLE - ROWE CLARK HS,PSAT 10,98,887,98,444,98,442,41.8, , , , , , , , , , 
2017-2018,400056,NOBLE - ROWE CLARK HS,SAT,85,939,85,471,85,468,32.9,25.9,54.1,18.8,1.2,20,30.6,52.9,15.3,1.2,16.5
2017-2018,400056,NOBLE - ROWE CLARK HS,Combined,313, , , , , ,31, , , , , , , , , , 
2017-2018,400057,NOBLE - UIC HS,PSAT 9,239,883,239,436,239,447,55.2, , , , , , , , , , 
2017-2018,400057,NOBLE - UIC HS,PSAT 10,224,992,224,499,224,493,75.9, , , , , , , , , , 
2017-2018,400057,NOBLE - UIC HS,SAT,207,1050,207,511,207,540,64.3,8.7,54.6,32.4,4.3,36.7,13.5,39.1,38.6,8.7,47.3
2017-2018,400057,NOBLE - UIC HS,Combined,670, , , , , ,64.9, , , , , , , , , , 
2017-2018,400058,NORTH LAWNDALE - CHRISTIANA HS,PSAT 9,72,719,72,350,72,369,8.3, , , , , , , , , , 
2017-2018,400058,NORTH LAWNDALE - CHRISTIANA HS,PSAT 10,91,797,91,393,91,404,17.6, , , , , , , , , , 
2017-2018,400058,NORTH LAWNDALE - CHRISTIANA HS,SAT,85,858,85,422,85,436,4.7,55.3,42.4,2.4,0,2.4,49.4,49.4,1.2,0,1.2
2017-2018,400058,NORTH LAWNDALE - CHRISTIANA HS,Combined,248, , , , , ,10.5, , , , , , , , , , 
2017-2018,400059,NORTH LAWNDALE - COLLINS HS,PSAT 9,80,687,80,347,80,340,3.8, , , , , , , , , , 
2017-2018,400059,NORTH LAWNDALE - COLLINS HS,PSAT 10,80,781,80,391,80,390,10, , , , , , , , , , 
2017-2018,400059,NORTH LAWNDALE - COLLINS HS,SAT,82,859,82,429,82,430,7.3,53.7,43.9,2.4,0,2.4,52.4,46.3,1.2,0,1.2
2017-2018,400059,NORTH LAWNDALE - COLLINS HS,Combined,242, , , , , ,7, , , , , , , , , , 
