Network,School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
,,District Total 2016-2017,"381,349","7,034","13,639","26,093","27,744","28,557","30,309","29,345","27,909","27,768","27,070","26,828","27,623","29,704","27,284","24,442"
Network 1,610212,Albany Park Multicultural Academy, 277 ,,,,,,,,,,135,142,,,,
Network 1,610209,Alessandro Volta Elementary School, 921 ,31,51,83,79,89,106,85,103,107,84,103,,,,
Network 1,609836,Arthur E Canty Elementary School, 849 ,15,48,79,79,87,104,83,85,99,77,93,,,,
Network 1,609729,Carl Schurz High School," 1,812 ",,,,,,,,,,,,465,403,479,465
Network 1,610083,Daniel C Beard Elementary School, 173 ,53,46,16,16,23,19,,,,,,,,,
Network 1,610564,Disney II Magnet High School, 730 ,,,,,,,,,,116,127,148,112,115,112
Network 1,610515,Disney II Magnet School, 428 ,25,35,50,50,50,50,56,56,56,,,,,,
Network 1,610523,Edison Park Elementary School, 564 ,3,13,61,69,57,68,63,73,45,61,51,,,,
Network 1,610137,Ernst Prussing Elementary School, 705 ,23,22,74,71,71,79,88,75,73,59,70,,,,
Network 1,609874,Everett McKinley Dirksen Elementary School, 884 ,23,30,109,112,107,85,111,87,72,78,70,,,,
Network 1,610163,Frederick Stock Elementary School, 239 ,93,146,,,,,,,,,,,,,
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS," 1,737 ",,,,,,,,,,,,535,449,375,378
Network 1,609857,Grover Cleveland Elementary School, 615 ,16,47,61,58,57,67,68,62,66,50,63,,,,
Network 1,610182,Hannah G Solomon Elementary School, 360 ,16,37,33,36,34,31,34,28,34,32,45,,,,
Network 1,609972,Helge A Haugan Elementary School, 957 ,41,70,104,129,139,139,131,113,91,,,,,,
Network 1,609798,Hiram H Belding Elementary School, 559 ,27,38,62,60,65,51,73,58,51,49,25,,,,
Network 1,609766,Jacqueline B Vaughn Occupational High School, 206 ,,,,,,,,,,,,26,23,29,128
Network 1,609912,James B Farnsworth Elementary School, 638 ,26,54,61,62,64,62,68,63,60,59,59,,,,
Network 1,609796,Jean Baptiste Beaubien Elementary School," 1,101 ",8,29,85,125,128,121,140,126,118,112,109,,,,
Network 1,610089,John B Murphy Elementary School, 561 ,16,37,53,47,49,71,67,52,57,45,67,,,,
Network 1,610111,John Palmer Elementary School, 833 ,21,49,67,88,76,86,102,96,88,82,78,,,,
Network 1,609937,John W Garvy Elementary School, 790 ,,,81,92,75,79,88,90,101,99,85,,,,
Network 1,610159,Jonathan Y Scammon Elementary School, 800 ,14,26,68,84,84,81,95,83,79,108,78,,,,
Network 1,610127,Mary Gage Peterson Elementary School, 879 ,11,31,90,99,100,97,96,88,91,90,86,,,,
Network 1,609792,Newton Bateman Elementary School," 1,061 ",40,75,105,102,111,98,120,108,90,110,102,,,,
Network 1,609810,Norman A Bridge Elementary School," 1,105 ",36,75,117,114,118,128,111,111,97,109,89,,,,
Network 1,610354,North River Elementary School, 327 ,15,41,27,28,35,37,28,28,30,31,27,,,,
Network 1,609749,Northside College Preparatory High School," 1,069 ",,,,,,,,,,,,285,280,251,253
Network 1,609744,Northside Learning Center High School, 228 ,,,,,,,,,,,,18,40,47,123
Network 1,610099,Norwood Park Elementary School, 411 ,13,23,33,54,55,57,50,30,26,44,26,,,,
