School ID,School Name,Network,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
,District Total 2017-2018,," 371,382 "," 6,670 "," 12,771 "," 24,963 "," 26,279 "," 27,013 "," 28,896 "," 28,308 "," 28,600 "," 27,570 "," 26,550 "," 26,410 "," 27,566 "," 28,453 "," 26,279 "," 25,054 "
610212,Albany Park Multicultural Academy,Network 1,290,0,0,0,0,0,0,0,0,0,149,141,0,0,0,0
610209,Alessandro Volta Elementary School,Network 1,894,28,52,85,82,70,91,103,87,101,104,91,0,0,0,0
609836,Arthur E Canty Elementary School,Network 1,859,15,39,88,88,83,92,103,92,83,98,78,0,0,0,0
609729,Carl Schurz High School,Network 1,1739,0,0,0,0,0,0,0,0,0,0,0,499,444,357,439
610083,Daniel C Beard Elementary School,Network 1,185,48,72,12,17,16,20,0,0,0,0,0,0,0,0,0
610564,Disney II Magnet High School,Network 1,711,0,0,0,0,0,0,0,0,0,103,110,163,135,97,103
610515,Disney II Magnet School,Network 1,432,22,38,49,50,51,51,56,58,57,0,0,0,0,0,0
609901,Edgebrook Elementary School,Network 1,509,0,0,61,57,61,59,50,58,57,54,52,0,0,0,0
610523,Edison Park Elementary School,Network 1,541,0,0,52,61,71,55,66,60,74,41,61,0,0,0,0
610137,Ernst Prussing Elementary School,Network 1,738,16,25,94,80,71,74,77,86,83,72,60,0,0,0,0
609874,Everett McKinley Dirksen Elementary School,Network 1,926,28,38,117,110,103,107,80,108,86,70,79,0,0,0,0
610163,Frederick Stock Elementary School,Network 1,234,87,147,0,0,0,0,0,0,0,0,0,0,0,0,0
609737,Friedrich W von Steuben Metropolitan Science HS,Network 1,1726,0,0,0,0,0,0,0,0,0,0,0,445,495,424,362
609857,Grover Cleveland Elementary School,Network 1,560,24,34,50,54,48,52,64,62,59,64,49,0,0,0,0
610182,Hannah G Solomon Elementary School,Network 1,349,15,35,35,37,32,35,32,36,30,31,31,0,0,0,0
609972,Helge A Haugan Elementary School,Network 1,906,25,76,104,98,120,130,137,123,93,0,0,0,0,0,0
609798,Hiram H Belding Elementary School,Network 1,580,11,59,54,60,57,65,48,75,56,47,48,0,0,0,0
609766,Jacqueline B Vaughn Occupational High School,Network 1,230,0,0,0,0,0,0,0,0,0,0,0,25,31,23,151
609912,James B Farnsworth Elementary School,Network 1,604,20,43,66,63,59,50,61,63,61,59,59,0,0,0,0
609796,Jean Baptiste Beaubien Elementary School,Network 1,1100,17,21,92,117,127,122,120,139,119,112,114,0,0,0,0
610089,John B Murphy Elementary School,Network 1,521,13,38,54,51,38,49,67,65,50,50,46,0,0,0,0
610111,John Palmer Elementary School,Network 1,806,19,55,74,69,84,76,79,104,87,83,76,0,0,0,0
609937,John W Garvy Elementary School,Network 1,831,0,0,85,94,98,80,86,97,91,103,97,0,0,0,0
610159,Jonathan Y Scammon Elementary School,Network 1,745,10,26,66,77,78,79,70,86,74,72,107,0,0,0,0
610127,Mary Gage Peterson Elementary School,Network 1,890,8,26,96,93,98,107,101,94,84,94,89,0,0,0,0
609792,Newton Bateman Elementary School,Network 1,1008,42,65,96,99,95,100,94,116,102,91,108,0,0,0,0
609810,Norman A Bridge Elementary School,Network 1,1116,39,69,107,127,111,121,115,109,109,101,108,0,0,0,0
610354,North River Elementary School,Network 1,325,18,32,25,31,26,37,36,30,30,32,28,0,0,0,0
609749,Northside College Preparatory High School,Network 1,1061,0,0,0,0,0,0,0,0,0,0,0,257,280,277,247
609744,Northside Learning Center High School,Network 1,230,0,0,0,0,0,0,0,0,0,0,0,39,43,42,106
610099,Norwood Park Elementary School,Network 1,436,8,25,28,35,57,60,57,59,31,30,46,0,0,0,0
610105,Oriole Park Elementary School,Network 1,751,29,46,75,70,80,74,90,75,58,80,74,0,0,0,0
609988,Patrick Henry Elementary School,Network 1,526,26,46,69,60,57,57,79,70,62,0,0,0,0,0,0
610145,Peter A Reinberg Elementary School,Network 1,802,33,59,72,76,84,68,97,77,77,74,85,0,0,0,0
610135,Portage Park Elementary School,Network 1,951,27,47,119,94,94,89,108,88,112,92,81,0,0,0,0
