School ID,School Name,Total,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12
,District Total 2018-2019," 361,314 "," 4,789 "," 12,879 "," 24,128 "," 25,059 "," 25,730 "," 27,295 "," 27,104 "," 27,619 "," 28,303 "," 26,508 "," 26,033 "," 27,296 "," 28,502 "," 25,603 "," 24,466 "
610212,Albany Park Multicultural Academy,282,0,0,0,0,0,0,0,0,0,136,146,0,0,0,0
610209,Alessandro Volta Elementary School,826,5,55,84,76,80,68,84,91,85,97,101,0,0,0,0
609836,Arthur E Canty Elementary School,825,9,26,90,92,88,84,84,96,91,71,94,0,0,0,0
610083,Daniel C Beard Elementary School,228,59,110,12,13,18,16,0,0,0,0,0,0,0,0,0
609901,Edgebrook Elementary School,509,0,0,60,63,53,63,60,53,53,50,54,0,0,0,0
610523,Edison Park Elementary School,545,0,0,58,52,62,69,59,69,62,73,41,0,0,0,0
610137,Ernst Prussing Elementary School,727,0,0,81,103,78,72,78,75,83,77,80,0,0,0,0
609874,Everett McKinley Dirksen Elementary School,936,23,57,96,117,108,101,99,81,107,80,67,0,0,0,0
610163,Frederick Stock Elementary School,229,92,137,0,0,0,0,0,0,0,0,0,0,0,0,0
609857,Grover Cleveland Elementary School,555,21,48,41,53,54,45,49,65,60,54,65,0,0,0,0
610182,Hannah G Solomon Elementary School,362,20,36,34,35,37,33,35,33,38,28,33,0,0,0,0
609972,Helge A Haugan Elementary School,891,37,66,102,94,82,108,112,132,94,64,0,0,0,0,0
609798,Hiram H Belding Elementary School,583,13,51,54,51,62,60,66,46,77,57,46,0,0,0,0
609912,James B Farnsworth Elementary School,585,19,50,55,63,61,53,53,63,58,52,58,0,0,0,0
609796,Jean Baptiste Beaubien Elementary School,1047,1,19,89,122,115,127,114,119,129,104,108,0,0,0,0
610089,John B Murphy Elementary School,543,14,43,45,59,56,46,55,64,67,46,48,0,0,0,0
610111,John Palmer Elementary School,758,5,52,87,73,61,77,77,71,94,81,80,0,0,0,0
609937,John W Garvy Elementary School,830,0,0,98,83,92,102,84,92,97,85,97,0,0,0,0
610159,Jonathan Y Scammon Elementary School,710,24,46,60,58,67,73,78,72,90,73,69,0,0,0,0
610127,Mary Gage Peterson Elementary School,888,5,33,100,101,93,97,102,93,94,80,90,0,0,0,0
609792,Newton Bateman Elementary School,948,29,55,90,95,87,91,98,92,114,105,92,0,0,0,0
609810,Norman A Bridge Elementary School,1112,19,71,103,121,131,104,122,121,108,107,105,0,0,0,0
610354,North River Elementary School,300,23,27,22,24,25,29,32,33,28,28,29,0,0,0,0
610099,Norwood Park Elementary School,442,1,19,48,35,44,57,59,59,58,32,30,0,0,0,0
610105,Oriole Park Elementary School,739,3,37,82,80,72,84,80,91,72,61,77,0,0,0,0
609988,Patrick Henry Elementary School,522,3,37,60,60,59,55,54,79,64,51,0,0,0,0,0
610145,Peter A Reinberg Elementary School,746,36,53,60,71,68,70,67,89,76,77,79,0,0,0,0
610135,Portage Park Elementary School,910,21,51,91,100,83,88,80,94,98,111,93,0,0,0,0
609995,Rufus M Hitch Elementary School,571,2,18,65,58,64,63,52,67,62,61,59,0,0,0,0
609794,Thomas A Edison Regional Gifted Center ES,265,0,0,27,28,27,32,29,31,32,29,30,0,0,0,0
610230,Wildwood IB World Magnet School,476,0,0,45,54,53,52,56,55,57,43,61,0,0,0,0
609884,William E Dever Elementary School,741,1,19,77,74,72,73,99,93,86,80,67,0,0,0,0
609994,William G Hibbard Elementary School,960,45,86,107,113,113,111,124,135,126,0,0,0,0,0,0
610104,William J Onahan Elementary School,662,0,20,77,79,75,84,75,65,62,62,63,0,0,0,0
609949,William P Gray Elementary School,1170,24,55,101,106,114,124,118,119,141,130,138,0,0,0,0
609804,Daniel Boone Elementary School,782,0,40,76,68,73,96,88,87,89,87,78,0,0,0,0
609859,DeWitt Clinton Elementary School,1152,2,36,108,138,116,127,126,134,137,105,123,0,0,0,0
609918,Eugene Field Elementary School,157,0,0,0,0,0,0,0,61,27,38,31,0,0,0,0
609779,George Armstrong International Studies ES,1360,27,80,125,123,132,137,139,155,152,147,143,0,0,0,0
610196,George B Swift Elementary Specialty School,682,25,50,80,68,66,65,69,72,66,63,58,0,0,0,0
610122,Helen Peirce International Studies ES,1048,0,59,113,119,111,120,103,98,114,107,104,0,0,0,0
610070,James B McPherson Elementary School,682,41,52,53,51,62,70,69,59,76,67,82,0,0,0,0
609866,John C Coonley Elementary School,1027,0,0,110,145,127,122,119,109,115,94,86,0,0,0,0
610269,John T McCutcheon Elementary School,374,26,26,31,32,38,46,33,34,36,32,40,0,0,0,0
609865,Jordan Elementary Community School,474,18,40,42,46,35,51,55,60,46,34,47,0,0,0,0
610022,Joyce Kilmer Elementary School,776,23,47,65,82,68,77,96,88,79,82,69,0,0,0,0
610355,Mary E Courtenay Elementary Language Arts Center,365,21,32,37,28,23,29,31,45,45,47,27,0,0,0,0
610011,Minnie Mars Jamieson Elementary School,883,2,20,92,107,85,91,98,93,94,99,102,0,0,0,0
610284,New Field Elementary School,664,20,90,122,125,112,93,102,0,0,0,0,0,0,0,0
609880,Stephen Decatur Classical Elementary School,284,0,0,29,27,29,59,26,56,58,0,0,0,0,0,0
609933,Stephen F Gale Elementary Community Academy,301,9,25,31,31,33,29,33,44,25,24,17,0,0,0,0
609976,Stephen K Hayt Elementary School,954,5,72,89,98,84,105,104,112,90,89,106,0,0,0,0
610191,Stone Elementary Scholastic Academy,622,0,0,90,61,93,62,62,63,62,66,63,0,0,0,0
610220,Thomas J Waters Elementary School,641,0,0,74,75,61,87,57,77,77,70,63,0,0,0,0
609904,Edward K Ellington Elementary School,483,33,48,41,40,42,50,43,51,44,37,54,0,0,0,0
610235,Ella Flagg Young Elementary School,724,5,29,69,75,68,62,89,87,92,70,78,0,0,0,0
610165,Franz Peter Schubert Elementary School,665,5,66,91,96,88,108,105,106,0,0,0,0,0,0,0
610305,George Leland Elementary School,386,15,29,33,26,40,47,38,42,41,35,40,0,0,0,0
610068,Hanson Park Elementary School,1471,57,98,144,128,137,147,143,158,157,159,143,0,0,0,0
610158,Harriet E Sayre Elementary Language Academy,439,2,37,36,51,43,46,43,44,51,40,46,0,0,0,0
610092,Henry H Nash Elementary School,242,9,26,24,16,23,27,23,23,34,16,21,0,0,0,0
609975,John Hay Elementary Community Academy,360,0,59,30,33,38,41,33,37,40,23,26,0,0,0,0
