Network,School ID,School Name,Total,WhiteNo,WhitePct,African AmericanNo,African AmericanPct,Asian/ Pacific Islander (Retired)No,Asian/ Pacific Islander (Retired)Pct,"Native American/AlaskanNo","Native American/AlaskanPct",HispanicNo,HispanicPct,Mulit-RacialNo,Mulit-RacialPct,AsianNo,AsianPct,"Hawaiian/Pacific IslanderNo","Hawaiian/Pacific IslanderPct","Not AvailableNo","Not AvailablePct"
,,District Total,"381,349","37,691",9.9,"143,849",37.7,14,0.00,786,0.2,"177,492",46.5,"4,163",1.1,"14,935",3.9,644,0.2,"1,775",0.5
Network 1,610212,Albany Park Multicultural Academy,277,18,6.5,12,4.3,0,0.0,0,0.0,216,78.0,4,1.4,27,9.7,0,0.0,0,0.0
Network 1,610209,Alessandro Volta Elementary School,921,62,6.7,28,3.0,0,0.0,1,0.1,599,65.0,5,0.5,226,24.5,0,0.0,0,0.0
Network 1,609836,Arthur E Canty Elementary School,849,442,52.1,8,0.9,0,0.0,1,0.1,340,40.0,25,2.9,31,3.7,1,0.1,1,0.1
Network 1,609729,Carl Schurz High School,"1,812",106,5.8,200,11.0,0,0.0,8,0.4,"1,431",79.0,17,0.9,26,1.4,4,0.2,20,1.1
Network 1,610083,Daniel C Beard Elementary School,173,76,43.9,7,4.0,0,0.0,0,0.0,73,42.2,6,3.5,11,6.4,0,0.0,0,0.0
Network 1,610564,Disney II Magnet High School,730,159,21.8,144,19.7,0,0.0,3,0.4,378,51.8,15,2.1,27,3.7,3,0.4,1,0.1
Network 1,610515,Disney II Magnet School,428,186,43.5,37,8.6,0,0.0,2,0.5,164,38.3,9,2.1,23,5.4,3,0.7,4,0.9
Network 1,610523,Edison Park Elementary School,564,392,69.5,5,0.9,0,0.0,1,0.2,122,21.6,5,0.9,33,5.9,1,0.2,5,0.9
Network 1,610137,Ernst Prussing Elementary School,705,331,47.0,15,2.1,0,0.0,1,0.1,284,40.3,8,1.1,49,7.0,6,0.9,11,1.6
Network 1,609874,Everett McKinley Dirksen Elementary School,884,612,69.2,28,3.2,0,0.0,2,0.2,133,15.0,5,0.6,95,10.7,4,0.5,5,0.6
Network 1,610163,Frederick Stock Elementary School,239,126,52.7,1,0.4,0,0.0,0,0.0,49,20.5,4,1.7,6,2.5,0,0.0,53,22.2
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,"1,737",296,17.0,180,10.4,0,0.0,9,0.5,983,56.6,32,1.8,234,13.5,2,0.1,1,0.1
Network 1,609857,Grover Cleveland Elementary School,615,30,4.9,23,3.7,0,0.0,6,1.0,508,82.6,6,1.0,26,4.2,3,0.5,13,2.1
Network 1,610182,Hannah G Solomon Elementary School,360,157,43.6,12,3.3,0,0.0,0,0.0,50,13.9,7,1.9,134,37.2,0,0.0,0,0.0
Network 1,609972,Helge A Haugan Elementary School,957,52,5.4,36,3.8,0,0.0,1,0.1,811,84.7,3,0.3,50,5.2,1,0.1,3,0.3
Network 1,609798,Hiram H Belding Elementary School,559,227,40.6,32,5.7,0,0.0,2,0.4,244,43.6,19,3.4,21,3.8,13,2.3,1,0.2
Network 1,609766,Jacqueline B Vaughn Occupational High School,206,49,23.8,49,23.8,0,0.0,0,0.0,100,48.5,1,0.5,7,3.4,0,0.0,0,0.0
Network 1,609912,James B Farnsworth Elementary School,638,252,39.5,16,2.5,0,0.0,0,0.0,260,40.8,5,0.8,101,15.8,3,0.5,1,0.2
Network 1,609796,Jean Baptiste Beaubien Elementary School,"1,101",433,39.3,17,1.5,0,0.0,4,0.4,399,36.2,64,5.8,175,15.9,8,0.7,1,0.1
