School ID,School Name,Network, Total ,WhiteNo,WhitePct,African AmericanNo,African AmericanPct,Asian/ Pacific Islander (Retired)No,Asian/ Pacific Islander (Retired)Pct,"Native American/AlaskanNo","Native American/AlaskanPct",HispanicNo,HispanicPct,Mulit-RacialNo,Mulit-RacialPct,AsianNo,AsianPct,"Hawaiian/Pacific IslanderNo","Hawaiian/Pacific IslanderPct","Not AvailableNo","Not AvailablePct"
,District Total,," 371,382 ","37,933",10.2,"137,495",37.0,13,0.0,"1,144",0.3,"173,790",46.8,"4,185",1.1,"15,113",4.1,627,0.2,"1,082",0.3
610212,Albany Park Multicultural Academy,Network 1, 290 ,16,5.5,16,5.5,0,0.0,3,1.0,227,78.3,4,1.4,24,8.3,0,0.0,0,0.0
610209,Alessandro Volta Elementary School,Network 1, 894 ,59,6.6,27,3.0,0,0.0,0,0.0,581,65.0,5,0.6,221,24.7,1,0.1,0,0.0
609836,Arthur E Canty Elementary School,Network 1, 859 ,445,51.8,13,1.5,0,0.0,3,0.3,351,40.9,16,1.9,29,3.4,2,0.2,0,0.0
609729,Carl Schurz High School,Network 1," 1,739 ",92,5.3,178,10.2,0,0.0,7,0.4,1419,81.6,17,1.0,23,1.3,3,0.2,0,0.0
610083,Daniel C Beard Elementary School,Network 1, 185 ,71,38.4,6,3.2,0,0.0,2,1.1,83,44.9,6,3.2,16,8.6,1,0.5,0,0.0
610564,Disney II Magnet High School,Network 1, 711 ,162,22.8,139,19.5,0,0.0,3,0.4,363,51.1,15,2.1,26,3.7,3,0.4,0,0.0
610515,Disney II Magnet School,Network 1, 432 ,192,44.4,38,8.8,0,0.0,3,0.7,159,36.8,10,2.3,28,6.5,2,0.5,0,0.0
609901,Edgebrook Elementary School,Network 1, 509 ,340,66.8,11,2.2,0,0.0,2,0.4,72,14.1,33,6.5,49,9.6,2,0.4,0,0.0
610523,Edison Park Elementary School,Network 1, 541 ,386,71.3,6,1.1,0,0.0,1,0.2,111,20.5,6,1.1,31,5.7,0,0.0,0,0.0
610137,Ernst Prussing Elementary School,Network 1, 738 ,340,46.1,17,2.3,0,0.0,4,0.5,307,41.6,9,1.2,52,7.0,8,1.1,1,0.1
609874,Everett McKinley Dirksen Elementary School,Network 1, 926 ,654,70.6,23,2.5,0,0.0,1,0.1,93,10.0,4,0.4,115,12.4,4,0.4,32,3.5
610163,Frederick Stock Elementary School,Network 1, 234 ,175,74.8,1,0.4,0,0.0,0,0.0,38,16.2,0,0.0,18,7.7,1,0.4,1,0.4
609737,Friedrich W von Steuben Metropolitan Science HS,Network 1," 1,726 ",282,16.3,190,11.0,0,0.0,10,0.6,987,57.2,33,1.9,221,12.8,3,0.2,0,0.0
609857,Grover Cleveland Elementary School,Network 1, 560 ,37,6.6,19,3.4,0,0.0,9,1.6,456,81.4,5,0.9,33,5.9,1,0.2,0,0.0
610182,Hannah G Solomon Elementary School,Network 1, 349 ,143,41.0,18,5.2,0,0.0,0,0.0,48,13.8,8,2.3,132,37.8,0,0.0,0,0.0
609972,Helge A Haugan Elementary School,Network 1, 906 ,56,6.2,38,4.2,0,0.0,2,0.2,758,83.7,5,0.6,46,5.1,1,0.1,0,0.0
609798,Hiram H Belding Elementary School,Network 1, 580 ,250,43.1,22,3.8,0,0.0,3,0.5,251,43.3,19,3.3,22,3.8,13,2.2,0,0.0
609766,Jacqueline B Vaughn Occupational High School,Network 1, 230 ,48,20.9,49,21.3,0,0.0,0,0.0,127,55.2,1,0.4,5,2.2,0,0.0,0,0.0
609912,James B Farnsworth Elementary School,Network 1, 604 ,243,40.2,11,1.8,0,0.0,1,0.2,244,40.4,6,1.0,96,15.9,3,0.5,0,0.0
609796,Jean Baptiste Beaubien Elementary School,Network 1," 1,100 ",418,38.0,25,2.3,0,0.0,3,0.3,405,36.8,64,5.8,177,16.1,8,0.7,0,0.0
610089,John B Murphy Elementary School,Network 1, 521 ,76,14.6,14,2.7,0,0.0,2,0.4,395,75.8,18,3.5,15,2.9,1,0.2,0,0.0
