Network,School ID,School Name, Total ,WhiteNo,WhitePct,African AmericanNo,African AmericanPct,Asian/ Pacific Islander (Retired)No,Asian/ Pacific Islander (Retired)Pct,Native American/AlaskanNo,Native American/AlaskanPct,HispanicNo,HispanicPct,Multi-RacialNo,Multi-RacialPct,AsianNo,AsianPct,Hawaiian/Pacific IslanderNo,Hawaiian/Pacific IslanderPct,Not AvailableNo,Not AvailablePct
,,District Total," 361,314 "," 38,016 ", 10.5 ," 132,194 ", 36.6 , 20 , 0.0 ," 1,061 ", 0.3 ," 168,888 ", 46.7 ," 4,333 ", 1.2 ," 14,933 ", 4.1 , 616 , 0.2 ," 1,253 ", 0.3 
Network 1,610212,Albany Park Multicultural Academy, 282 ,14,5.0,14,5.0,0,0.0,3,1.1,225,79.8,2,0.7,24,8.5,0,0.0,0,0.0
Network 1,610209,Alessandro Volta Elementary School, 826 ,44,5.3,16,1.9,0,0.0,0,0.0,571,69.1,3,0.4,190,23.0,1,0.1,1,0.1
Network 1,609836,Arthur E Canty Elementary School, 825 ,418,50.7,21,2.5,0,0.0,3,0.4,339,41.1,13,1.6,30,3.6,1,0.1,0,0.0
Network 1,610083,Daniel C Beard Elementary School, 228 ,84,36.8,12,5.3,0,0.0,1,0.4,94,41.2,4,1.8,32,14.0,1,0.4,0,0.0
Network 1,609901,Edgebrook Elementary School, 509 ,340,66.8,10,2.0,0,0.0,0,0.0,85,16.7,31,6.1,42,8.3,1,0.2,0,0.0
Network 1,610523,Edison Park Elementary School, 545 ,392,71.9,7,1.3,0,0.0,1,0.2,110,20.2,7,1.3,28,5.1,0,0.0,0,0.0
Network 1,610137,Ernst Prussing Elementary School, 727 ,322,44.3,12,1.7,0,0.0,4,0.6,330,45.4,10,1.4,41,5.6,8,1.1,0,0.0
Network 1,609874,Everett McKinley Dirksen Elementary School, 936 ,667,71.3,22,2.4,0,0.0,2,0.2,101,10.8,6,0.6,134,14.3,4,0.4,0,0.0
Network 1,610163,Frederick Stock Elementary School, 229 ,166,72.5,1,0.4,0,0.0,0,0.0,46,20.1,3,1.3,12,5.2,1,0.4,0,0.0
Network 1,609857,Grover Cleveland Elementary School, 555 ,48,8.6,23,4.1,0,0.0,8,1.4,435,78.4,7,1.3,33,5.9,1,0.2,0,0.0
Network 1,610182,Hannah G Solomon Elementary School, 362 ,151,41.7,18,5.0,0,0.0,0,0.0,58,16.0,6,1.7,129,35.6,0,0.0,0,0.0
Network 1,609972,Helge A Haugan Elementary School, 891 ,52,5.8,35,3.9,0,0.0,2,0.2,751,84.3,5,0.6,45,5.1,1,0.1,0,0.0
Network 1,609798,Hiram H Belding Elementary School, 583 ,255,43.7,31,5.3,0,0.0,4,0.7,240,41.2,19,3.3,20,3.4,8,1.4,6,1.0
Network 1,609912,James B Farnsworth Elementary School, 585 ,223,38.1,14,2.4,0,0.0,1,0.2,250,42.7,10,1.7,83,14.2,4,0.7,0,0.0
Network 1,609796,Jean Baptiste Beaubien Elementary School," 1,047 ",402,38.4,18,1.7,0,0.0,4,0.4,376,35.9,69,6.6,169,16.1,9,0.9,0,0.0
Network 1,610089,John B Murphy Elementary School, 543 ,95,17.5,17,3.1,0,0.0,2,0.4,396,72.9,17,3.1,15,2.8,1,0.2,0,0.0
Network 1,610111,John Palmer Elementary School, 758 ,219,28.9,7,0.9,0,0.0,4,0.5,360,47.5,9,1.2,122,16.1,37,4.9,0,0.0
Network 1,609937,John W Garvy Elementary School, 830 ,483,58.2,7,0.8,0,0.0,2,0.2,248,29.9,23,2.8,45,5.4,22,2.7,0,0.0
Network 1,610159,Jonathan Y Scammon Elementary School, 710 ,46,6.5,11,1.5,0,0.0,4,0.6,633,89.2,4,0.6,9,1.3,3,0.4,0,0.0
Network 1,610127,Mary Gage Peterson Elementary School, 888 ,243,27.4,54,6.1,0,0.0,4,0.5,333,37.5,29,3.3,219,24.7,3,0.3,3,0.3
Network 1,609792,Newton Bateman Elementary School, 948 ,113,11.9,24,2.5,0,0.0,5,0.5,754,79.5,17,1.8,32,3.4,3,0.3,0,0.0
Network 1,609810,Norman A Bridge Elementary School," 1,112 ",423,38.0,21,1.9,0,0.0,4,0.4,587,52.8,26,2.3,49,4.4,2,0.2,0,0.0
Network 1,610354,North River Elementary School, 300 ,20,6.7,4,1.3,0,0.0,3,1.0,259,86.3,1,0.3,9,3.0,4,1.3,0,0.0
Network 1,610099,Norwood Park Elementary School, 442 ,250,56.6,3,0.7,0,0.0,1,0.2,148,33.5,18,4.1,22,5.0,0,0.0,0,0.0
Network 1,610105,Oriole Park Elementary School, 739 ,493,66.7,14,1.9,0,0.0,1,0.1,165,22.3,11,1.5,54,7.3,1,0.1,0,0.0
Network 1,609988,Patrick Henry Elementary School, 522 ,37,7.1,20,3.8,0,0.0,10,1.9,439,84.1,3,0.6,11,2.1,2,0.4,0,0.0
Network 1,610145,Peter A Reinberg Elementary School, 746 ,137,18.4,16,2.1,0,0.0,4,0.5,556,74.5,11,1.5,18,2.4,2,0.3,2,0.3
Network 1,610135,Portage Park Elementary School, 910 ,255,28.0,25,2.7,0,0.0,23,2.5,570,62.6,12,1.3,15,1.6,10,1.1,0,0.0
Network 1,609995,Rufus M Hitch Elementary School, 571 ,234,41.0,6,1.1,0,0.0,0,0.0,260,45.5,28,4.9,37,6.5,0,0.0,6,1.1
Network 1,609794,Thomas A Edison Regional Gifted Center ES, 265 ,159,60.0,11,4.2,0,0.0,1,0.4,21,7.9,29,10.9,43,16.2,1,0.4,0,0.0
Network 1,610230,Wildwood IB World Magnet School, 476 ,300,63.0,13,2.7,0,0.0,0,0.0,100,21.0,17,3.6,43,9.0,3,0.6,0,0.0
Network 1,609884,William E Dever Elementary School, 741 ,288,38.9,11,1.5,0,0.0,1,0.1,388,52.4,17,2.3,32,4.3,4,0.5,0,0.0
Network 1,609994,William G Hibbard Elementary School, 960 ,61,6.4,49,5.1,0,0.0,7,0.7,764,79.6,8,0.8,70,7.3,0,0.0,1,0.1
Network 1,610104,William J Onahan Elementary School, 662 ,433,65.4,13,2.0,0,0.0,6,0.9,174,26.3,16,2.4,20,3.0,0,0.0,0,0.0
Network 1,609949,William P Gray Elementary School," 1,170 ",83,7.1,27,2.3,0,0.0,9,0.8,1010,86.3,13,1.1,28,2.4,0,0.0,0,0.0
Network 2,609804,Daniel Boone Elementary School, 782 ,156,19.9,76,9.7,0,0.0,13,1.7,346,44.2,5,0.6,185,23.7,1,0.1,0,0.0
Network 2,609859,DeWitt Clinton Elementary School," 1,152 ",154,13.4,148,12.8,0,0.0,5,0.4,343,29.8,3,0.3,499,43.3,0,0.0,0,0.0
Network 2,609918,Eugene Field Elementary School, 157 ,9,5.7,59,37.6,0,0.0,0,0.0,81,51.6,0,0.0,8,5.1,0,0.0,0,0.0
Network 2,609779,George Armstrong International Studies ES," 1,360 ",116,8.5,367,27.0,0,0.0,4,0.3,583,42.9,10,0.7,278,20.4,2,0.1,0,0.0
Network 2,610196,George B Swift Elementary Specialty School, 682 ,109,16.0,181,26.5,0,0.0,10,1.5,188,27.6,24,3.5,169,24.8,1,0.1,0,0.0
Network 2,610122,Helen Peirce International Studies ES," 1,048 ",346,33.0,113,10.8,0,0.0,6,0.6,456,43.5,60,5.7,66,6.3,1,0.1,0,0.0
Network 2,610070,James B McPherson Elementary School, 682 ,90,13.2,39,5.7,0,0.0,0,0.0,507,74.3,18,2.6,28,4.1,0,0.0,0,0.0
Network 2,609866,John C Coonley Elementary School," 1,027 ",672,65.4,19,1.9,0,0.0,1,0.1,210,20.4,74,7.2,44,4.3,4,0.4,3,0.3
Network 2,610269,John T McCutcheon Elementary School, 374 ,34,9.1,178,47.6,0,0.0,3,0.8,84,22.5,13,3.5,61,16.3,1,0.3,0,0.0
Network 2,609865,Jordan Elementary Community School, 474 ,29,6.1,126,26.6,0,0.0,0,0.0,282,59.5,8,1.7,14,3.0,2,0.4,13,2.7
Network 2,610022,Joyce Kilmer Elementary School, 776 ,86,11.1,225,29.0,0,0.0,4,0.5,362,46.6,20,2.6,78,10.1,1,0.1,0,0.0
Network 2,610355,Mary E Courtenay Elementary Language Arts Center, 365 ,35,9.6,160,43.8,0,0.0,3,0.8,139,38.1,7,1.9,19,5.2,2,0.5,0,0.0
Network 2,610011,Minnie Mars Jamieson Elementary School, 883 ,255,28.9,63,7.1,0,0.0,0,0.0,312,35.3,36,4.1,216,24.5,0,0.0,1,0.1
Network 2,610284,New Field Elementary School, 664 ,76,11.4,196,29.5,0,0.0,6,0.9,289,43.5,18,2.7,77,11.6,2,0.3,0,0.0
Network 2,609880,Stephen Decatur Classical Elementary School, 284 ,124,43.7,12,4.2,0,0.0,0,0.0,42,14.8,17,6.0,88,31.0,1,0.4,0,0.0
Network 2,609933,Stephen F Gale Elementary Community Academy, 301 ,18,6.0,176,58.5,0,0.0,0,0.0,66,21.9,12,4.0,16,5.3,0,0.0,13,4.3
Network 2,609976,Stephen K Hayt Elementary School, 954 ,97,10.2,160,16.8,0,0.0,10,1.0,424,44.4,17,1.8,242,25.4,3,0.3,1,0.1
Network 2,610191,Stone Elementary Scholastic Academy, 622 ,192,30.9,126,20.3,0,0.0,3,0.5,103,16.6,30,4.8,165,26.5,3,0.5,0,0.0
Network 2,610220,Thomas J Waters Elementary School, 641 ,346,54.0,19,3.0,0,0.0,0,0.0,206,32.1,43,6.7,23,3.6,3,0.5,1,0.2
Network 3,609904,Edward K Ellington Elementary School, 483 ,0,0.0,462,95.7,0,0.0,3,0.6,18,3.7,0,0.0,0,0.0,0,0.0,0,0.0
Network 3,610235,Ella Flagg Young Elementary School, 724 ,2,0.3,631,87.2,0,0.0,0,0.0,87,12.0,2,0.3,0,0.0,2,0.3,0,0.0
Network 3,610165,Franz Peter Schubert Elementary School, 665 ,19,2.9,8,1.2,0,0.0,1,0.2,632,95.0,1,0.2,4,0.6,0,0.0,0,0.0
Network 3,610305,George Leland Elementary School, 386 ,0,0.0,370,95.9,0,0.0,0,0.0,12,3.1,0,0.0,0,0.0,1,0.3,3,0.8
Network 3,610068,Hanson Park Elementary School," 1,471 ",26,1.8,25,1.7,0,0.0,4,0.3,1410,95.9,0,0.0,5,0.3,1,0.1,0,0.0
Network 3,610158,Harriet E Sayre Elementary Language Academy, 439 ,41,9.3,187,42.6,0,0.0,3,0.7,190,43.3,12,2.7,5,1.1,1,0.2,0,0.0
Network 3,610092,Henry H Nash Elementary School, 242 ,1,0.4,222,91.7,0,0.0,0,0.0,7,2.9,3,1.2,0,0.0,0,0.0,9,3.7
Network 3,609975,John Hay Elementary Community Academy, 360 ,1,0.3,302,83.9,0,0.0,0,0.0,54,15.0,2,0.6,1,0.3,0,0.0,0,0.0
Network 3,610043,Joseph Lovett Elementary School, 342 ,2,0.6,285,83.3,0,0.0,0,0.0,53,15.5,2,0.6,0,0.0,0,0.0,0,0.0
