Network,School ID,Educational Unit,Total,WhiteNo,WhitePct,African AmericanNo,African AmericanPct,Asian/Pacific Islander(Retired)No,Asian/Pacific Islander(Retired)Pct,Native American/AlaskanNo,Native American/AlaskanPct,HispanicNo,HispanicPct,Mulit-RacialNo,Mulit-RacialPct,AsianNo,AsianPct,Hawaiian/Pacific IslanderNo,Hawaiian/Pacific IslanderPct,Not AvailableNo,Not AvailablePct
Charter,400010,ACE Tech Chtr HS,481,11,2.3,366,76.1,0,0.0,3,0.6,100,20.8,1,0.2,0,0.0,0,0.0,0,0.0
Charter,400146,ACT Charter,166,0,0.0,160,96.4,0,0.0,0,0.0,6,3.6,0,0.0,0,0.0,0,0.0,0,0.0
Network 13,609772,Addams,866,19,2.2,12,1.4,0,0.0,0,0.0,831,96.0,3,0.3,1,0.1,0,0.0,0,0.0
Network 4,609773,Agassiz,484,170,35.1,119,24.6,0,0.0,1,0.2,160,33.1,19,3.9,13,2.7,2,0.4,0,0.0
Military,610513,Air Force Acad HS,369,36,9.8,152,41.2,0,0.0,0,0.0,164,44.4,4,1.1,12,3.3,1,0.3,0,0.0
Network 1,610212,Albany Park Middle,280,12,4.3,16,5.7,0,0.0,0,0.0,217,77.5,3,1.1,32,11.4,0,0.0,0,0.0
Network 4,609774,Alcott,510,326,63.9,46,9.0,1,0.2,0,0.0,74,14.5,29,5.7,30,5.9,0,0.0,4,0.8
Network 4,610524,Alcott HS,281,34,12.1,84,29.9,0,0.0,5,1.8,150,53.4,3,1.1,3,1.1,2,0.7,0,0.0
OS4,609848,Aldridge,252,0,0.0,252,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Charter,400012,Amandla Elementay Chrtr,354,1,0.3,344,97.2,0,0.0,0,0.0,2,0.6,1,0.3,0,0.0,0,0.0,6,1.7
Network 4,609780,Ames Middle,542,0,0.0,26,4.8,0,0.0,1,0.2,509,93.9,3,0.6,3,0.6,0,0.0,0,0.0
Network 2,609695,Amundsen HS,"1,266",129,10.2,138,10.9,1,0.1,6,0.5,787,62.2,8,0.6,185,14.6,5,0.4,7,0.6
Network 9,609951,Ariel,565,2,0.4,547,96.8,0,0.0,0,0.0,13,2.3,2,0.4,1,0.2,0,0.0,0,0.0
Network 6,609777,Armour,324,28,8.6,8,2.5,0,0.0,0,0.0,274,84.6,2,0.6,12,3.7,0,0.0,0,0.0
Network 2,609779,Armstrong G.,"1,444",111,7.7,414,28.7,0,0.0,11,0.8,627,43.4,28,1.9,251,17.4,1,0.1,1,0.1
Network 10,610287,Ashburn,475,3,0.6,388,81.7,0,0.0,0,0.0,74,15.6,9,1.9,1,0.2,0,0.0,0,0.0
OS4,610268,Ashe,392,0,0.0,386,98.5,0,0.0,0,0.0,6,1.5,0,0.0,0,0.0,0,0.0,0,0.0
Charter,400013,ASPIRA Chrt - Early College,568,4,0.7,14,2.5,0,0.0,3,0.5,538,94.7,0,0.0,5,0.9,0,0.0,4,0.7
Charter,400017,ASPIRA Chrt - Haugan,565,12,2.1,18,3.2,0,0.0,5,0.9,508,89.9,6,1.1,14,2.5,1,0.2,1,0.2
Charter,400015,ASPIRA Chrt - Ramirez,166,5,3.0,14,8.4,0,0.0,1,0.6,146,88.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 9,609781,Attucks,168,0,0.0,166,98.8,0,0.0,0,0.0,1,0.6,0,0.0,0,0.0,0,0.0,1,0.6
Network 4,609782,Audubon,591,342,57.9,19,3.2,0,0.0,0,0.0,172,29.1,31,5.2,10,1.7,2,0.3,15,2.5
Network 3,400018,Austin Bus & Entrp HS,186,0,0.0,186,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 3,610501,Austin Poly Tech HS,196,1,0.5,190,96.9,0,0.0,1,0.5,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 12,609786,Avalon Park,308,1,0.3,302,98.1,0,0.0,1,0.3,3,1.0,1,0.3,0,0.0,0,0.0,0,0.0
Network 10,610544,Azuela,944,28,3.0,8,0.8,0,0.0,6,0.6,884,93.6,1,0.1,3,0.3,0,0.0,14,1.5
Network 8,610563,Back of the Yards IB HS,281,6,2.1,9,3.2,0,0.0,1,0.4,248,88.3,0,0.0,17,6.0,0,0.0,0,0.0
Options,610555,Banner West HS,296,0,0.0,283,95.6,0,0.0,0,0.0,7,2.4,5,1.7,0,0.0,0,0.0,1,0.3
OS4,609788,Barnard,301,1,0.3,288,95.7,0,0.0,0,0.0,6,2.0,4,1.3,1,0.3,1,0.3,0,0.0
Network 4,609789,Barry,831,13,1.6,10,1.2,0,0.0,1,0.1,791,95.2,7,0.8,9,1.1,0,0.0,0,0.0
Network 11,609790,Barton,591,2,0.3,584,98.8,0,0.0,0,0.0,4,0.7,1,0.2,0,0.0,0,0.0,0,0.0
Network 11,609791,Bass,566,0,0.0,552,97.5,0,0.0,2,0.4,11,1.9,0,0.0,0,0.0,1,0.2,0,0.0
Network 1,609792,Bateman,"1,036",94,9.1,26,2.5,0,0.0,6,0.6,833,80.4,4,0.4,38,3.7,1,0.1,34,3.3
Network 1,610083,Beard,169,60,35.5,10,5.9,0,0.0,0,0.0,76,45.0,6,3.6,16,9.5,1,0.6,0,0.0
