Network,School ID,Education Units,Total,WhiteNo,WhitePct,African AmericanNo,African AmericanPct,Asian/Pacific Islander (Retired)No,Asian/Pacific Islander (Retired)Pct,Native American/AlaskanNo,Native American/AlaskanPct,HispanicNo,HispanicPct,Mulit-RacialNo,Mulit-RacialPct,AsianNo,AsianPct,Hawaiian/Pacific IslanderNo,Hawaiian/Pacific IslanderPct,Not AvailableNo,Not AvailablePct
Charter,400010,ACE TECHNICAL CHARTER HS,448,11,2.5,362,80.8,0,0.0,3,0.7,71,15.8,1,0.2,0,0.0,0,0.0,0,0.0
Network 13,609772,ADDAMS,890,21,2.4,14,1.6,0,0.0,1,0.1,851,95.6,2,0.2,1,0.1,0,0.0,0,0.0
Network 4,609773,AGASSIZ,510,179,35.1,132,25.9,0,0.0,2,0.4,160,31.4,20,3.9,16,3.1,1,0.2,0,0.0
Service Leadership Academies,610513,AIR FORCE HS,373,40,10.7,153,41.0,0,0.0,0,0.0,159,42.6,3,0.8,16,4.3,1,0.3,1,0.3
Network 1,610212,ALBANY PARK,269,14,5.2,11,4.1,0,0.0,0,0.0,202,75.1,8,3.0,34,12.6,0,0.0,0,0.0
Network 4,609774,ALCOTT ES,567,338,59.6,45,7.9,1,0.2,0,0.0,66,11.6,40,7.1,41,7.2,0,0.0,36,6.3
Network 4,610524,ALCOTT HS,274,29,10.6,68,24.8,0,0.0,2,0.7,162,59.1,4,1.5,5,1.8,1,0.4,3,1.1
OS4,609848,ALDRIDGE,223,0,0.0,223,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Charter,400012,AMANDLA CHTR HS,325,1,0.3,311,95.7,0,0.0,0,0.0,3,0.9,1,0.3,0,0.0,0,0.0,9,2.8
Network 2,609695,AMUNDSEN HS,"1,132",116,10.2,132,11.7,1,0.1,10,0.9,674,59.5,16,1.4,168,14.8,5,0.4,10,0.9
Network 9,609951,ARIEL,550,2,0.4,537,97.6,0,0.0,0,0.0,6,1.1,2,0.4,1,0.2,1,0.2,1,0.2
Network 6,609777,ARMOUR,309,30,9.7,20,6.5,0,0.0,0,0.0,242,78.3,0,0.0,16,5.2,1,0.3,0,0.0
Network 2,609779,"ARMSTRONG, G","1,461",115,7.9,423,29.0,1,0.1,10,0.7,614,42.0,24,1.6,272,18.6,2,0.1,0,0.0
Network 10,610287,ASHBURN,456,2,0.4,374,82.0,0,0.0,0,0.0,74,16.2,6,1.3,0,0.0,0,0.0,0,0.0
OS4,610268,ASHE,362,0,0.0,354,97.8,0,0.0,0,0.0,5,1.4,1,0.3,0,0.0,0,0.0,2,0.6
Charter,400060,ASIAN HUMAN SERVICES CHTR - PASSAGES,456,32,7.0,216,47.4,2,0.4,2,0.4,78,17.1,20,4.4,97,21.3,3,0.7,6,1.3
Charter,400013,ASPIRA CHTR - EARLY COLLEGE HS,508,5,1.0,13,2.6,0,0.0,5,1.0,480,94.5,0,0.0,5,1.0,0,0.0,0,0.0
Charter,400017,ASPIRA CHTR - HAUGAN,578,13,2.2,14,2.4,0,0.0,4,0.7,525,90.8,5,0.9,15,2.6,2,0.3,0,0.0
Charter,400015,ASPIRA CHTR - RAMIREZ HS,77,3,3.9,7,9.1,0,0.0,1,1.3,66,85.7,0,0.0,0,0.0,0,0.0,0,0.0
Network 9,609781,ATTUCKS,132,0,0.0,132,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 4,609782,AUDUBON,586,353,60.2,19,3.2,0,0.0,0,0.0,159,27.1,30,5.1,19,3.2,2,0.3,4,0.7
Network 3,400018,AUSTIN BUS & ENTRP HS,150,0,0.0,148,98.7,0,0.0,0,0.0,2,1.3,0,0.0,0,0.0,0,0.0,0,0.0
Network 3,610501,AUSTIN POLY HS,165,0,0.0,161,97.6,0,0.0,0,0.0,2,1.2,1,0.6,0,0.0,0,0.0,1,0.6
Network 12,609786,AVALON PARK,352,1,0.3,344,97.7,0,0.0,0,0.0,4,1.1,1,0.3,0,0.0,1,0.3,1,0.3
