Network,School ID,Education Units,Total,WhiteNo,WhitePct,African AmericanNo,African AmericanPct,Asian/Pacific Islander (Retired)No,Asian/Pacific Islander (Retired)Pct,Native American/AlaskanNo,Native American/AlaskanPct,HispanicNo,HispanicPct,Mulit-RacialNo,Mulit-RacialPct,AsianNo,AsianPct,Hawaiian/Pacific IslanderNo,Hawaiian/Pacific IslanderPct,Not AvailableNo,Not AvailablePct
Charter,400010,ACE TECH HS,439,6,1.4,370,84.3,0,0.0,0,0.0,61,13.9,1,0.2,0,0.0,0,0.0,1,0.2
Network 13,609772,ADDAMS,894,14,1.6,16,1.8,0,0.0,0,0.0,862,96.4,1,0.1,0,0.0,0,0.0,1,0.1
Network 4,609773,AGASSIZ,527,186,35.3,140,26.6,0,0.0,1,0.2,155,29.4,22,4.2,21,4.0,1,0.2,1,0.2
Charter,400060,AHS - PASSAGES,456,29,6.4,209,45.8,0,0.0,2,0.4,90,19.7,18,4.0,102,22.4,3,0.7,3,0.7
Service Leadership Academies,610513,AIR FORCE HS,328,36,11.0,139,42.4,0,0.0,0,0.0,139,42.4,1,0.3,12,3.7,0,0.0,1,0.3
Network 1,610212,ALBANY PARK,286,17,5.9,9,3.1,0,0.0,0,0.0,223,78.0,7,2.5,30,10.5,0,0.0,0,0.0
Network 4,609774,ALCOTT ES,576,376,65.3,45,7.8,1,0.2,0,0.0,65,11.3,35,6.1,41,7.1,1,0.2,12,2.1
Network 4,610524,ALCOTT HS,308,28,9.1,63,20.5,0,0.0,1,0.3,204,66.2,4,1.3,4,1.3,0,0.0,4,1.3
Network 13,609848,ALDRIDGE,194,0,0.0,193,99.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
Charter,400012,AMANDLA,323,1,0.3,316,97.8,0,0.0,0,0.0,3,0.9,1,0.3,0,0.0,0,0.0,2,0.6
Network 2,609695,AMUNDSEN HS,"1,141",123,10.8,127,11.1,0,0.0,11,1.0,677,59.3,21,1.8,176,15.4,5,0.4,1,0.1
ISP,609951,ARIEL,542,1,0.2,527,97.2,0,0.0,0,0.0,7,1.3,3,0.6,0,0.0,3,0.6,1,0.2
Network 6,609777,ARMOUR,296,27,9.1,18,6.1,0,0.0,0,0.0,241,81.4,1,0.3,9,3.0,0,0.0,0,0.0
Network 2,609779,ARMSTRONG G,"1,452",103,7.1,405,27.9,0,0.0,12,0.8,651,44.8,23,1.6,257,17.7,1,0.1,0,0.0
Network 10,610287,ASHBURN,486,2,0.4,390,80.2,0,0.0,0,0.0,87,17.9,7,1.4,0,0.0,0,0.0,0,0.0
Network 12,610268,ASHE,320,0,0.0,317,99.1,0,0.0,0,0.0,3,0.9,0,0.0,0,0.0,0,0.0,0,0.0
Charter,400172,ASPIRA - BUSINESS & FINANCE HS,165,3,1.8,5,3.0,0,0.0,0,0.0,155,93.9,1,0.6,1,0.6,0,0.0,0,0.0
Charter,400013,ASPIRA - EARLY COLLEGE HS,451,5,1.1,11,2.4,0,0.0,2,0.4,426,94.5,0,0.0,2,0.4,0,0.0,5,1.1
Charter,400017,ASPIRA - HAUGAN,532,12,2.3,13,2.4,0,0.0,4,0.8,478,89.8,8,1.5,16,3.0,1,0.2,0,0.0
Network 4,609782,AUDUBON,570,333,58.4,18,3.2,0,0.0,0,0.0,151,26.5,29,5.1,18,3.2,2,0.4,19,3.3
Network 3,400018,AUSTIN BUS & ENTRP HS,102,0,0.0,98,96.1,0,0.0,0,0.0,3,2.9,1,1.0,0,0.0,0,0.0,0,0.0
Network 3,610501,AUSTIN POLY HS,122,0,0.0,118,96.7,0,0.0,0,0.0,2,1.6,2,1.6,0,0.0,0,0.0,0,0.0
Network 12,609786,AVALON PARK,332,2,0.6,325,97.9,0,0.0,0,0.0,3,0.9,1,0.3,0,0.0,1,0.3,0,0.0
Network 10,610544,AZUELA,948,19,2.0,6,0.6,0,0.0,4,0.4,910,96.0,2,0.2,4,0.4,0,0.0,3,0.3
Network 8,610563,BACK OF THE YARDS HS,790,14,1.8,25,3.2,0,0.0,1,0.1,697,88.2,0,0.0,52,6.6,1,0.1,0,0.0
Options,610555,BANNER WEST HS,307,1,0.3,280,91.2,0,0.0,0,0.0,23,7.5,2,0.7,1,0.3,0,0.0,0,0.0
Network 10,609788,BARNARD,308,2,0.6,295,95.8,0,0.0,0,0.0,6,1.9,4,1.3,1,0.3,0,0.0,0,0.0
Network 4,609789,BARRY,771,7,0.9,7,0.9,0,0.0,1,0.1,742,96.2,5,0.7,9,1.2,0,0.0,0,0.0
Network 11,609790,BARTON,463,4,0.9,451,97.4,0,0.0,0,0.0,6,1.3,1,0.2,0,0.0,0,0.0,1,0.2
Network 11,609791,BASS,494,0,0.0,482,97.6,0,0.0,0,0.0,9,1.8,1,0.2,1,0.2,1,0.2,0,0.0
Network 1,609792,BATEMAN,"1,040",89,8.6,23,2.2,0,0.0,2,0.2,844,81.2,2,0.2,40,3.8,2,0.2,38,3.7
Network 1,610083,BEARD,171,64,37.4,5,2.9,0,0.0,0,0.0,76,44.4,8,4.7,16,9.4,0,0.0,2,1.2
Network 9,610246,BEASLEY,"1,440",1,0.1,"1,401",97.3,0,0.0,3,0.2,28,1.9,3,0.2,2,0.1,1,0.1,1,0.1
Network 1,609796,BEAUBIEN,"1,117",435,38.9,24,2.1,0,0.0,6,0.5,428,38.3,58,5.2,158,14.1,6,0.5,2,0.2
Network 9,610237,BEETHOVEN,451,1,0.2,440,97.6,0,0.0,0,0.0,8,1.8,1,0.2,0,0.0,1,0.2,0,0.0
Network 5,609797,BEIDLER,520,0,0.0,503,96.7,0,0.0,0,0.0,15,2.9,2,0.4,0,0.0,0,0.0,0,0.0
Network 1,609798,BELDING,605,232,38.3,45,7.4,0,0.0,2,0.3,263,43.5,22,3.6,24,4.0,16,2.6,1,0.2
Network 4,609799,BELL,"1,007",632,62.8,30,3.0,0,0.0,2,0.2,182,18.1,83,8.2,73,7.2,5,0.5,0,0.0
Network 3,609922,BELMONT-CRAGIN,608,20,3.3,27,4.4,0,0.0,3,0.5,555,91.3,2,0.3,0,0.0,1,0.2,0,0.0
Network 13,609800,BENNETT,353,1,0.3,343,97.2,0,0.0,0,0.0,2,0.6,6,1.7,0,0.0,0,0.0,1,0.3
Network 12,610350,BLACK,463,0,0.0,458,98.9,0,0.0,0,0.0,4,0.9,0,0.0,0,0.0,0,0.0,1,0.2
Network 4,609803,BLAINE,912,555,60.9,51,5.6,0,0.0,1,0.1,214,23.5,42,4.6,40,4.4,9,1.0,0,0.0
Network 10,610087,BLAIR,163,30,18.4,29,17.8,0,0.0,0,0.0,102,62.6,0,0.0,1,0.6,0,0.0,1,0.6
OS4,609698,BOGAN HS,856,10,1.2,432,50.5,0,0.0,0,0.0,408,47.7,5,0.6,1,0.1,0,0.0,0,0.0
Network 11,610238,BOND,333,1,0.3,322,96.7,0,0.0,0,0.0,10,3.0,0,0.0,0,0.0,0,0.0,0,0.0
Network 2,609804,BOONE,828,172,20.8,72,8.7,0,0.0,2,0.2,376,45.4,7,0.9,198,23.9,0,0.0,1,0.1
Network 12,609815,BOUCHET,649,0,0.0,638,98.3,0,0.0,0,0.0,4,0.6,6,0.9,0,0.0,0,0.0,1,0.2
OS4,610323,BOWEN HS,359,2,0.6,271,75.5,0,0.0,2,0.6,79,22.0,4,1.1,0,0.0,0,0.0,1,0.3
AUSL,609806,BRADWELL,704,5,0.7,677,96.2,0,0.0,0,0.0,20,2.8,2,0.3,0,0.0,0,0.0,0,0.0
Network 2,610242,BRENNEMANN,474,17,3.6,306,64.6,0,0.0,1,0.2,107,22.6,16,3.4,25,5.3,2,0.4,0,0.0
Network 4,609809,BRENTANO,443,39,8.8,15,3.4,0,0.0,0,0.0,374,84.4,5,1.1,2,0.5,6,1.4,2,0.5
Network 1,609810,BRIDGE,"1,108",490,44.2,14,1.3,0,0.0,1,0.1,546,49.3,25,2.3,30,2.7,2,0.2,0,0.0
Network 13,609811,BRIGHT,299,6,2.0,207,69.2,0,0.0,0,0.0,86,28.8,0,0.0,0,0.0,0,0.0,0,0.0
Network 8,610317,BRIGHTON PARK,518,9,1.7,10,1.9,0,0.0,2,0.4,490,94.6,2,0.4,4,0.8,0,0.0,1,0.2
OS4,610381,BRONZEVILLE HS,448,0,0.0,438,97.8,0,0.0,0,0.0,8,1.8,0,0.0,1,0.2,0,0.0,1,0.2
Charter,400019,BRONZEVILLE LIGHTHOUSE,472,2,0.4,452,95.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,3.8
ISP,609726,BROOKS HS,836,4,0.5,687,82.2,0,0.0,1,0.1,128,15.3,9,1.1,2,0.2,0,0.0,5,0.6
Network 13,610091,BROWN R,323,0,0.0,321,99.4,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0
Network 6,609812,BROWN W,271,1,0.4,251,92.6,0,0.0,1,0.4,11,4.1,0,0.0,1,0.4,1,0.4,5,1.8
Network 12,609813,BROWNELL,228,0,0.0,218,95.6,0,0.0,0,0.0,9,3.9,1,0.4,0,0.0,0,0.0,0,0.0
