Network,School ID,School,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12,Total
AUSL,610339,Amos Alonzo Stagg Elementary School,8,26,53,72,77,66,55,54,59,59,60,0,0,0,0,589
AUSL,610106,Brian Piccolo Elementary Specialty School,18,39,57,64,57,52,37,53,58,52,57,0,0,0,0,544
AUSL,609883,Charles S Deneen Elementary School,23,30,70,64,78,72,68,45,50,61,58,0,0,0,0,619
AUSL,610248,Chicago Academy Elementary School,30,50,54,56,56,58,58,58,60,60,60,0,0,0,0,600
AUSL,610340,Chicago Academy High School,0,0,0,0,0,0,0,0,0,0,0,140,143,120,115,518
AUSL,610499,Collins Academy High School,0,0,0,0,0,0,0,0,0,0,0,95,114,83,92,384
AUSL,609885,Dewey Elementary Academy of Fine Arts,34,49,47,37,28,30,28,24,29,22,32,0,0,0,0,360
AUSL,610543,Eric Solorio Academy High School,0,0,0,0,0,0,0,0,0,0,0,286,268,260,254,"1,068"
AUSL,609900,George W Curtis Elementary School,8,22,76,72,70,71,65,54,61,73,54,0,0,0,0,626
AUSL,610103,Isabelle C O'Keeffe Elementary School,25,42,73,57,59,80,55,48,47,55,47,0,0,0,0,588
AUSL,610274,James Weldon Johnson Elementary School,27,41,42,48,37,60,40,38,33,41,28,0,0,0,0,435
AUSL,610263,John Foster Dulles Elementary School,29,46,84,94,79,85,87,81,60,77,66,0,0,0,0,788
AUSL,609971,John Harvard Elementary School of Excellence,12,21,50,52,59,60,30,59,51,49,58,0,0,0,0,501
AUSL,610000,Julia Ward Howe Elementary School of Excellence,15,25,64,73,70,70,74,59,66,59,71,0,0,0,0,646
AUSL,610036,Leslie Lewis Elementary School,15,25,45,48,37,55,55,48,62,50,48,0,0,0,0,488
AUSL,610053,Marquette Elementary School,43,77,138,130,132,137,144,126,113,132,124,0,0,0,0,"1,296"
AUSL,609888,Mary Mapes Dodge Elementary Renaissance Academy,9,18,16,16,22,26,18,31,30,27,35,0,0,0,0,248
AUSL,609928,Melville W Fuller Elementary School,11,21,24,38,27,29,28,42,31,21,27,0,0,0,0,299
AUSL,610257,Morton School of Excellence,12,22,45,52,47,48,52,32,26,38,38,0,0,0,0,412
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES,13,19,79,112,97,111,72,93,82,74,82,0,0,0,0,834
AUSL,610231,National Teachers Elementary Academy,13,20,83,75,47,60,59,57,60,56,55,0,0,0,0,585
AUSL,610389,Orr Academy High School,0,0,0,0,0,0,0,0,0,0,0,210,169,106,162,647
AUSL,610021,Pablo Casals Elementary School,9,30,42,44,54,55,47,45,41,51,50,0,0,0,0,468
AUSL,610396,Tarkington School of Excellence ES,12,26,108,108,116,90,116,124,109,125,122,0,0,0,0,"1,056"
AUSL,609991,Theodore Herzl Elementary School,49,84,52,62,40,43,48,50,37,50,39,0,0,0,0,554
AUSL,609851,Thomas Chalmers Specialty Elementary School,11,29,40,55,38,38,33,36,45,43,38,0,0,0,0,406
AUSL,609727,Wendell Phillips Academy High School,0,0,0,0,0,0,0,0,0,0,1,182,207,129,151,670
AUSL,610172,William T Sherman Elementary School,10,26,38,35,39,52,29,36,40,48,38,0,0,0,0,391
AUSL,609844,William W Carter Elementary School,21,21,36,48,54,54,42,43,34,52,34,0,0,0,0,439
Military,610513,Air Force Academy High School,0,0,0,0,0,0,0,0,0,0,0,83,118,90,78,369
Military,609754,Chicago Military Academy High School,0,0,0,0,0,0,0,0,0,0,0,103,124,60,118,405
Military,609760,George Washington Carver Military Academy HS,0,0,0,0,0,0,0,0,0,0,0,136,139,123,131,529
Military,610390,Hyman G Rickover Naval Academy High School,0,0,0,0,0,0,0,0,0,0,0,133,183,89,102,507
Military,610502,Marine Military Math and Science Academy,0,0,0,0,0,0,0,0,0,0,0,124,116,79,82,401
Military,610304,Phoenix Military Academy High School,0,0,0,0,0,0,0,0,0,0,0,167,133,92,105,497
Network 1,610212,Albany Park Multicultural Academy,0,0,0,0,0,0,0,0,0,127,153,0,0,0,0,280
Network 1,610209,Alessandro Volta Elementary School,27,53,117,95,131,106,104,112,96,106,87,0,0,0,0,"1,034"
Network 1,609836,Arthur E Canty Elementary School,11,19,93,79,81,94,74,104,80,84,93,0,0,0,0,812
Network 1,609729,Carl Schurz High School,0,0,0,0,0,0,0,0,0,0,0,742,572,555,510,"2,379"
Network 1,609899,Christian Ebinger Elementary School,14,24,97,100,72,79,87,72,59,59,69,0,0,0,0,732
Network 1,610083,Daniel C Beard Elementary School,27,45,17,25,22,33,0,0,0,0,0,0,0,0,0,169
Network 1,610564,Disney II Magnet High School,0,0,0,0,0,0,0,0,0,98,0,149,0,0,0,247
Network 1,610515,Disney II Magnet School,23,36,50,50,49,52,51,54,49,0,0,0,0,0,0,414
Network 1,609901,Edgebrook Elementary School,0,0,54,53,57,58,60,64,56,52,50,0,0,0,0,504
Network 1,610523,Edison Park Elementary School,6,11,68,50,65,50,63,57,34,23,43,0,0,0,0,470
Network 1,609708,Edwin G Foreman High School,0,0,0,0,0,0,0,0,0,0,0,467,345,333,362,"1,507"
Network 1,610137,Ernst Prussing Elementary School,9,27,69,89,76,72,70,67,72,73,63,0,0,0,0,687
Network 1,609874,Everett McKinley Dirksen Elementary School,17,43,94,108,96,71,93,75,79,62,69,0,0,0,0,807
Network 1,610163,Frederick Stock Elementary School,114,127,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,0,0,0,0,0,0,0,0,0,0,0,435,449,432,350,"1,666"
Network 1,609857,Grover Cleveland Elementary School,24,52,75,85,69,78,63,55,71,47,70,0,0,0,0,689
Network 1,610182,Hannah G Solomon Elementary School,16,33,33,35,28,29,34,43,35,36,35,0,0,0,0,357
Network 1,609972,Helge A Haugan Elementary School,59,138,154,170,148,151,161,143,83,0,0,0,0,0,0,"1,207"
Network 1,609798,Hiram H Belding Elementary School,30,44,67,84,70,62,55,35,50,56,53,0,0,0,0,606
Network 1,609766,Jacqueline B Vaughn Occupational High School,0,0,0,0,0,0,0,0,0,0,0,28,34,42,110,214
Network 1,609912,James B Farnsworth Elementary School,30,46,72,62,56,57,53,61,44,55,61,0,0,0,0,597
Network 1,609796,Jean Baptiste Beaubien Elementary School,18,22,94,146,132,129,147,118,134,107,119,0,0,0,0,"1,166"
Network 1,610089,John B Murphy Elementary School,33,45,71,69,55,59,53,69,36,56,60,0,0,0,0,606
Network 1,610111,John Palmer Elementary School,30,47,82,120,90,97,88,85,83,84,100,0,0,0,0,906
Network 1,609937,John W Garvy Elementary School,0,0,82,93,81,96,96,86,88,72,98,0,0,0,0,792
Network 1,610159,Jonathan Y Scammon Elementary School,6,34,86,98,92,80,112,73,105,101,85,0,0,0,0,872
Network 1,610127,Mary Gage Peterson Elementary School,10,24,91,108,95,84,86,72,96,87,107,0,0,0,0,860
Network 1,609792,Newton Bateman Elementary School,44,74,103,122,102,105,105,106,88,86,101,0,0,0,0,"1,036"
Network 1,609810,Norman A Bridge Elementary School,37,78,137,115,118,103,104,89,90,86,92,0,0,0,0,"1,049"
Network 1,610354,North River Elementary School,29,43,48,36,30,29,38,34,40,36,40,0,0,0,0,403
Network 1,609749,Northside College Preparatory High School,0,0,0,0,0,0,0,0,0,0,0,265,267,278,259,"1,069"
Network 1,609744,Northside Learning Center High School,0,0,0,0,0,0,0,0,0,0,0,34,69,37,144,284
Network 1,610099,Norwood Park Elementary School,19,21,47,45,28,28,46,27,36,34,36,0,0,0,0,367
Network 1,610201,Ole A Thorp Elementary Scholastic Academy,0,0,86,87,86,91,101,100,105,101,89,0,0,0,0,846
Network 1,610105,Oriole Park Elementary School,29,52,69,70,55,69,71,60,68,57,61,0,0,0,0,661
Network 1,609988,Patrick Henry Elementary School,24,54,98,98,92,82,84,76,75,0,0,0,0,0,0,683
Network 1,610145,Peter A Reinberg Elementary School,30,66,85,72,90,73,83,80,75,89,97,0,0,0,0,840
Network 1,610135,Portage Park Elementary School,31,51,130,108,139,135,96,106,118,94,106,0,0,0,0,"1,114"
Network 1,609995,Rufus M Hitch Elementary School,13,27,72,65,62,63,57,59,48,66,54,0,0,0,0,586
Network 1,610155,Sauganash Elementary School,0,0,63,66,66,63,52,68,67,60,48,0,0,0,0,553
Network 1,609728,Theodore Roosevelt High School,0,0,0,0,0,0,0,0,0,0,0,362,474,332,269,"1,437"
Network 1,609794,Thomas A Edison Regional Gifted Center ES,0,0,28,30,29,32,32,32,32,31,30,0,0,0,0,276
Network 1,610321,Thurgood Marshall Middle School,0,0,0,0,0,0,0,0,0,78,197,0,0,0,0,275
Network 1,610179,Washington D Smyser Elementary School,14,26,116,116,110,86,128,113,88,99,110,0,0,0,0,"1,006"
Network 1,610230,Wildwood Elementary School,0,0,29,47,32,58,42,60,61,48,47,0,0,0,0,424
Network 1,609884,William E Dever Elementary School,10,30,86,79,97,73,121,80,91,98,82,0,0,0,0,847
Network 1,609994,William G Hibbard Elementary School,42,78,152,163,157,180,145,160,144,0,0,0,0,0,0,"1,221"
Network 1,609734,William Howard Taft High School,0,0,0,0,0,0,0,0,0,97,129,813,711,701,744,"3,195"
Network 1,610104,William J Onahan Elementary School,16,29,78,74,71,59,70,69,71,69,64,0,0,0,0,670
Network 1,609949,William P Gray Elementary School,21,57,137,148,127,150,135,133,145,111,139,0,0,0,0,"1,303"
Network 2,609804,Daniel Boone Elementary School,16,52,83,94,82,87,82,88,82,87,52,0,0,0,0,805
Network 2,609859,DeWitt Clinton Elementary School,28,52,143,134,117,120,102,124,95,122,110,0,0,0,0,"1,147"
Network 2,609852,Eliza Chappell Elementary School,35,47,53,69,58,51,49,53,41,43,52,0,0,0,0,551
Network 2,609918,Eugene Field Elementary School,0,0,0,0,0,0,90,102,72,50,76,0,0,0,0,390
Network 2,609779,George Armstrong International Studies ES,40,75,149,141,155,150,140,175,140,132,147,0,0,0,0,"1,444"
Network 2,610196,George B Swift Elementary Specialty School,27,51,58,81,76,80,64,76,62,52,69,0,0,0,0,696
Network 2,610122,Helen Peirce International Studies ES,45,75,96,129,140,118,82,111,86,66,93,0,0,0,0,"1,041"
Network 2,610070,James B McPherson Elementary School,57,83,74,95,70,83,90,83,76,58,58,0,0,0,0,827
Network 2,609866,John C Coonley Elementary School,0,0,116,112,102,89,93,91,69,31,29,0,0,0,0,732
Network 2,610269,John T McCutcheon Elementary School,31,41,57,45,51,57,43,53,47,51,26,0,0,0,0,502
Network 2,609865,Jordan Elementary Community School,25,43,55,76,64,75,69,60,69,58,62,0,0,0,0,656
Network 2,610242,Joseph Brennemann Elementary School,6,27,60,54,47,49,55,45,55,58,46,0,0,0,0,502
Network 2,610022,Joyce Kilmer Elementary School,34,51,95,84,90,79,81,85,65,61,79,0,0,0,0,804
Network 2,609719,Lake View High School,0,0,0,0,0,0,0,0,0,0,0,376,332,349,379,"1,436"
Network 2,609817,Lyman A Budlong Elementary School,61,97,102,88,87,68,87,64,76,69,75,0,0,0,0,874
Network 2,610355,Mary E Courtenay Elementary Language Arts Center,53,71,79,59,61,55,55,44,57,40,57,0,0,0,0,631
Network 2,610011,Minnie Mars Jamieson Elementary School,24,17,97,114,91,105,111,93,75,82,91,0,0,0,0,900
Network 2,610284,New Field Elementary School,48,94,112,117,115,103,0,0,0,0,0,0,0,0,0,589
Network 2,609730,Nicholas Senn High School,0,0,0,0,0,0,0,0,0,0,0,366,349,246,201,"1,162"
Network 2,610147,Philip Rogers Elementary School,24,46,83,80,74,85,76,75,72,61,76,0,0,0,0,752
Network 2,610141,Ravenswood Elementary School,39,42,67,52,53,51,60,39,44,28,33,0,0,0,0,508
Network 2,609695,Roald Amundsen High School,0,0,0,0,0,0,0,0,0,0,0,268,359,280,359,"1,266"
Network 2,609733,Roger C Sullivan High School,0,0,0,0,0,0,0,0,0,0,0,135,191,198,184,708
Network 2,609880,Stephen Decatur Classical Elementary School,0,0,28,58,29,27,55,32,57,0,0,0,0,0,0,286
Network 2,609933,Stephen F Gale Elementary Community Academy,23,40,46,47,54,58,33,51,32,37,41,0,0,0,0,462
Network 2,609976,Stephen K Hayt Elementary School,53,66,109,89,101,114,82,108,84,99,79,0,0,0,0,984
Network 2,609724,Stephen T Mather High School,0,0,0,0,0,0,0,0,0,0,0,503,436,377,307,"1,623"
Network 2,610191,Stone Elementary Scholastic Academy,0,0,61,63,66,64,95,67,98,60,60,0,0,0,0,634
Network 2,610220,Thomas J Waters Elementary School,20,20,87,83,73,84,61,82,60,58,42,0,0,0,0,670
Network 2,610394,Uplift Community High School,0,0,0,0,0,0,0,0,0,0,0,89,85,102,78,354
Network 2,610363,Walt Disney Magnet Elementary School,33,49,189,207,203,194,175,165,165,147,151,0,0,0,0,"1,678"
Network 2,610542,West Ridge Elementary School,15,19,93,105,75,92,65,79,64,69,77,0,0,0,0,753
Network 2,609945,William C Goudy Elementary School,22,46,66,76,82,95,75,88,89,82,76,0,0,0,0,797
Network 3,400018,Austin Business and Entrepreneurship Academy HS,0,0,0,0,0,0,0,0,0,0,0,31,46,56,53,186
Network 3,610501,Austin Polytechnical Academy High School,0,0,0,0,0,0,0,0,0,0,0,53,54,41,48,196
Network 3,609922,Belmont-Cragin Elementary School,127,205,31,27,25,30,31,22,31,26,32,0,0,0,0,587
Network 3,609679,Charles Allen Prosser Career Academy High School,0,0,0,0,0,0,0,0,0,0,0,407,461,326,320,"1,514"
Network 3,609732,Charles P Steinmetz College Preparatory HS,0,0,0,0,0,0,0,0,0,0,0,432,543,471,363,"1,809"
Network 3,610533,Dr Jorge Prieto Math and Science,12,27,105,130,119,120,108,112,122,107,89,0,0,0,0,"1,051"
Network 3,609904,Edward K Ellington Elementary School,32,55,77,78,74,67,84,61,65,64,78,0,0,0,0,735
Network 3,610235,Ella Flagg Young Elementary School,15,38,116,123,106,106,103,103,132,106,137,0,0,0,0,"1,085"
Network 3,610165,Franz Peter Schubert Elementary School,66,93,145,161,146,134,114,108,0,0,0,0,0,0,0,967
Network 3,610245,Frederick A Douglass Academy High School,0,0,0,0,0,0,0,0,0,0,0,60,85,79,67,291
Network 3,610305,George Leland Elementary School,16,44,80,84,72,72,62,59,74,62,48,0,0,0,0,673
Network 3,609795,George Rogers Clark Elementary School,16,11,33,23,24,33,32,30,25,28,24,0,0,0,0,279
Network 3,610068,Hanson Park Elementary School,71,155,167,188,172,145,138,147,143,143,143,0,0,0,0,"1,612"
Network 3,610158,Harriet E Sayre Elementary Language Academy,11,28,58,66,60,60,61,56,47,59,65,0,0,0,0,571
Network 3,610040,Henry D Lloyd Elementary School,60,109,184,206,186,189,180,154,0,0,0,0,0,0,0,"1,268"
Network 3,610092,Henry H Nash Elementary School,15,18,40,53,39,47,40,37,36,36,42,0,0,0,0,403
Network 3,609975,John Hay Elementary Community Academy,26,42,50,63,39,52,47,57,41,63,61,0,0,0,0,541
Network 3,610043,Joseph Lovett Elementary School,15,25,52,50,42,55,35,51,47,47,50,0,0,0,0,469
Network 3,610041,Josephine C Locke Elementary School,51,104,153,143,142,141,126,120,137,136,136,0,0,0,0,"1,389"
Network 3,609910,Laughlin Falconer Elementary School,29,90,185,188,203,191,165,196,187,0,0,0,0,0,0,"1,434"
Network 3,609818,Luther Burbank Elementary School,26,54,92,106,84,96,105,101,103,87,101,0,0,0,0,955
Network 3,610539,Marvin Camras Elementary School,48,91,100,119,112,91,88,95,90,85,82,0,0,0,0,"1,001"
Network 3,610046,Mary Lyon Elementary School,0,0,158,159,175,167,164,167,145,143,147,0,0,0,0,"1,425"
Network 3,610244,Michele Clark Academic Prep Magnet High School,0,0,0,0,0,0,0,0,0,7,23,136,115,111,107,499
Network 3,609830,Milton Brunson Math & Science Specialty ES,29,36,72,76,61,73,57,56,68,66,51,0,0,0,0,645
Network 3,610051,Northwest Middle School,0,0,0,0,0,0,0,0,219,186,262,0,0,0,0,667
Network 3,610367,Oscar DePriest Elementary School,25,45,83,76,63,69,74,71,59,76,82,0,0,0,0,723
Network 3,610282,Ronald E McNair Elementary School,17,15,33,50,38,46,38,31,42,32,40,0,0,0,0,382
Network 3,610183,Spencer Technology Academy,31,69,91,84,102,96,77,80,86,68,80,0,0,0,0,864
Network 3,610518,VOISE Academy High School,0,0,0,0,0,0,0,0,0,0,0,78,93,78,92,341
Network 4,610038,Abraham Lincoln Elementary School,0,0,93,89,93,102,85,79,84,91,92,0,0,0,0,808
Network 4,609720,Albert G Lane Technical High School,0,0,0,0,0,0,0,0,0,110,112,925,808,"1,143","1,022","4,120"
Network 4,610524,Alcott High School for the Humanities,0,0,0,0,0,0,0,0,0,0,0,88,68,57,68,281
Network 4,609799,Alexander Graham Bell Elementary School,3,3,115,124,122,118,110,115,113,121,104,0,0,0,0,"1,048"
Network 4,609963,Alexander Hamilton Elementary School,11,21,36,65,52,69,33,36,25,14,19,0,0,0,0,381
Network 4,609780,Ames Middle School,0,0,0,0,0,0,0,0,0,333,209,0,0,0,0,542
Network 4,609820,Augustus H Burley Elementary School,16,38,56,54,62,57,53,60,54,51,49,0,0,0,0,550
Network 4,610039,Carl von Linne Elementary School,18,48,69,77,69,60,70,56,70,71,69,0,0,0,0,677
Network 4,609875,Charles R Darwin Elementary School,21,55,58,49,67,51,69,65,50,61,47,0,0,0,0,593
Network 4,610402,DeVry University Advantage Academy HS,0,0,0,0,0,0,0,0,0,0,0,0,0,99,93,192
Network 4,610541,Federico Garcia Lorca Elementary School,24,55,102,102,98,94,92,88,77,86,87,0,0,0,0,905
Network 4,610144,Frank W Reilly Elementary School,38,81,116,134,113,125,101,117,112,100,113,0,0,0,0,"1,150"
Network 4,609926,Franklin Elementary Fine Arts Center,0,0,31,29,30,31,31,64,61,64,30,0,0,0,0,371
Network 4,609930,Frederick Funston Elementary School,28,51,59,65,51,65,48,58,66,42,58,0,0,0,0,591
Network 4,610010,Friedrich Ludwig Jahn Elementary School,30,34,45,53,45,42,43,43,42,42,50,0,0,0,0,469
Network 4,609974,Hawthorne Elementary Scholastic Academy,0,0,64,64,64,64,64,63,63,64,64,0,0,0,0,574
Network 4,609850,Horace Greeley Elementary School,20,26,68,71,58,72,69,67,69,61,56,0,0,0,0,637
Network 4,610078,Inter-American Elementary Magnet School,0,73,69,74,77,69,63,67,63,55,57,0,0,0,0,667
Network 4,609803,James G Blaine Elementary School,50,85,107,106,92,99,94,69,98,69,74,0,0,0,0,943
Network 4,610074,James Monroe Elementary School,33,69,100,107,95,98,128,99,111,101,112,0,0,0,0,"1,053"
Network 4,609942,Johann W von Goethe Elementary School,42,64,91,101,67,92,79,61,59,76,75,0,0,0,0,807
Network 4,609789,John Barry Elementary School,37,80,121,98,96,133,94,106,66,0,0,0,0,0,0,831
Network 4,609782,John J Audubon Elementary School,30,54,60,78,61,57,48,53,53,55,42,0,0,0,0,591
Network 4,610033,LaSalle Elementary Language Academy,0,0,60,64,63,65,65,64,64,58,52,0,0,0,0,555
Network 4,609738,Lincoln Park High School,0,0,0,0,0,0,0,0,0,0,0,631,489,607,503,"2,230"
Network 4,610325,Logandale Middle School,30,66,106,97,99,97,96,78,89,58,78,0,0,0,0,894
Network 4,609773,Louis A Agassiz Elementary School,18,22,56,57,55,60,54,56,51,28,27,0,0,0,0,484
Network 4,610094,Louis Nettelhorst Elementary School,36,48,100,98,80,81,95,86,61,63,49,0,0,0,0,797
Network 4,609774,Louisa May Alcott Elementary School,14,23,55,57,53,56,51,54,48,53,46,0,0,0,0,510
Network 4,610059,Oscar F Mayer Elementary School,55,59,85,65,59,61,74,54,25,39,38,0,0,0,0,614
Network 4,609853,Salmon P Chase Elementary School,37,38,32,55,53,51,54,46,34,49,49,0,0,0,0,498
Network 4,609968,Sharon Christa McAuliffe Elementary School,34,46,70,93,86,89,91,92,76,0,0,0,0,0,0,677
Network 4,610534,Skinner North,0,0,62,60,60,62,63,32,29,0,0,0,0,0,0,368
Network 4,610095,Walter L Newberry Math & Science Academy ES,4,12,52,55,55,55,92,63,60,60,55,0,0,0,0,563
Network 4,610136,William H Prescott Elementary School,11,23,57,54,30,33,22,14,16,16,12,0,0,0,0,288
Network 4,610097,William P Nixon Elementary School,22,46,131,140,154,156,137,126,147,0,0,0,0,0,0,"1,059"
Network 4,610088,Wolfgang A Mozart Elementary School,24,54,82,102,78,94,98,82,80,73,69,0,0,0,0,836
Network 5,610342,Albert R Sabin Elementary Magnet School,0,0,76,71,78,73,69,73,58,64,64,0,0,0,0,626
Network 5,610098,Alfred Nobel Elementary School,23,45,88,88,92,89,73,98,79,78,89,0,0,0,0,842
Network 5,610131,Ambrose Plamondon Elementary School,0,0,13,14,20,14,18,10,21,25,28,0,0,0,0,163
Network 5,610076,Bernhard Moos Elementary School,19,34,36,62,56,41,51,48,41,59,53,0,0,0,0,500
Network 5,610005,Charles Evans Hughes Elementary School,21,23,40,37,35,26,22,33,23,36,33,0,0,0,0,329
Network 5,610194,Charles Sumner  Math & Science Community Acad ES,17,23,47,41,32,54,44,37,39,34,49,0,0,0,0,417
Network 5,609863,Christopher Columbus Elementary School,9,25,30,27,32,28,31,25,30,29,28,0,0,0,0,294
Network 5,609835,Daniel R Cameron Elementary School,26,41,110,75,86,85,89,75,81,68,75,0,0,0,0,811
Network 5,610221,Daniel Webster Elementary School,28,45,31,32,24,31,38,26,25,28,29,0,0,0,0,337
Network 5,610254,Dvorak Technology Academy,27,41,57,53,48,69,53,53,47,43,56,0,0,0,0,547
Network 5,610073,Ellen Mitchell Elementary School,16,24,39,42,56,29,30,31,34,27,34,0,0,0,0,362
Network 5,610503,Frazier Prospective IB Magnet ES,0,0,24,28,24,27,30,25,42,38,27,0,0,0,0,265
Network 5,609854,Frederic Chopin Elementary School,24,38,64,50,65,55,53,48,64,50,83,0,0,0,0,594
Network 5,610293,Genevieve Melody Elementary School,36,59,68,63,57,55,58,56,59,55,52,0,0,0,0,618
Network 5,610202,George W Tilton Elementary School,24,41,47,44,39,58,36,30,42,43,44,0,0,0,0,448
Network 5,609693,George Westinghouse College Prep,0,0,0,0,0,0,0,0,0,0,0,278,301,254,292,"1,125"
Network 5,610192,Harriet Beecher Stowe Elementary School,27,59,91,74,83,71,87,72,93,68,69,0,0,0,0,794
Network 5,609985,Helen M Hefferan Elementary School,31,40,46,54,32,38,35,42,32,40,37,0,0,0,0,427
Network 5,610044,James Russell Lowell Elementary School,46,64,66,67,54,59,59,66,50,56,57,0,0,0,0,644
Network 5,610271,Jensen Elementary Scholastic Academy,20,38,53,42,49,48,49,46,52,53,53,0,0,0,0,503
Network 5,609723,John Marshall Metropolitan High School,0,0,0,0,0,0,0,0,0,0,0,191,171,155,107,624
Network 5,609954,John Milton Gregory Elementary School,20,32,39,38,43,46,46,33,47,42,49,0,0,0,0,435
Network 5,610313,Jose De Diego Elementary Community Academy,34,79,80,81,83,86,104,92,91,88,116,0,0,0,0,934
Network 5,609925,Joseph Kellman Corporate Community ES,12,20,42,38,50,45,45,45,36,62,44,0,0,0,0,439
Network 5,610133,Laura S Ward Elementary School,34,32,59,67,69,63,71,69,64,74,72,0,0,0,0,674
Network 5,609722,Manley Career Academy High School,0,0,0,0,0,0,0,0,0,0,0,110,122,125,93,450
Network 5,610055,Michael Faraday Elementary School,18,16,37,37,38,38,35,35,34,31,28,0,0,0,0,347
Network 5,609691,North-Grand High School,0,0,0,0,0,0,0,0,0,0,0,222,273,231,184,910
Network 5,610234,Richard Yates Elementary School,40,68,58,69,58,61,68,68,64,56,65,0,0,0,0,675
Network 5,610056,Roswell B Mason Elementary School,21,30,58,55,38,51,47,44,50,42,49,0,0,0,0,485
