Network,School ID,School,PE,PK,K,01,02,03,04,05,06,07,08,09,10,11,12,Total
AUSL,610339,Amos Alonzo Stagg Elementary School,10,32,44,54,52,71,61,54,50,40,39,,,,, 507 
AUSL,610106,Brian Piccolo Elementary Specialty School,11,42,59,76,65,73,57,56,50,57,43,,,,, 589 
AUSL,609883,Charles S Deneen Elementary School,19,31,65,64,58,64,70,52,49,49,56,,,,, 577 
AUSL,610248,Chicago Academy Elementary School,21,59,54,56,56,60,60,60,62,62,62,,,,, 612 
AUSL,610340,Chicago Academy High School,,,,,,,,,,,,148,141,128,125, 542 
AUSL,610499,Collins Academy High School,,,,,,,,,,,,83,115,75,82, 355 
AUSL,609885,Dewey Elementary Academy of Fine Arts,30,45,44,53,43,45,31,30,27,30,25,,,,, 403 
AUSL,610254,Dvorak Technology Academy,29,47,46,40,38,51,49,37,51,36,40,,,,, 464 
AUSL,610543,Eric Solorio Academy High School,,,,,,,,,,,,298,311,265,237," 1,111 "
AUSL,609900,George W Curtis Elementary School,4,19,60,71,81,92,66,54,68,54,59,,,,, 628 
AUSL,610103,Isabelle C O'Keeffe Elementary School,26,25,75,87,100,86,68,66,71,67,42,,,,, 713 
AUSL,610274,James Weldon Johnson Elementary School,20,40,52,57,51,72,54,51,46,37,40,,,,, 520 
AUSL,610263,John Foster Dulles Elementary School,26,42,82,87,99,122,66,38,80,58,40,,,,, 740 
AUSL,609971,John Harvard Elementary School of Excellence,17,16,51,48,52,56,41,39,38,36,31,,,,, 425 
AUSL,610000,Julia Ward Howe Elementary School of Excellence,11,28,59,36,60,64,56,55,56,45,57,,,,, 527 
AUSL,610036,Leslie Lewis Elementary School,14,24,53,53,62,64,33,46,52,43,55,,,,, 499 
AUSL,610053,Marquette Elementary School,27,81,104,125,146,140,121,127,139,120,108,,,,," 1,238 "
AUSL,609888,Mary Mapes Dodge Elementary Renaissance Academy,8,12,5,7,8,10,12,10,12,20,18,,,,, 122 
AUSL,609928,Melville W Fuller Elementary School,13,19,34,48,28,47,42,40,44,44,33,,,,, 392 
AUSL,610257,Morton School of Excellence,10,19,37,33,39,40,45,31,35,29,22,,,,, 340 
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES,15,15,78,73,96,98,80,63,67,65,54,,,,, 704 
AUSL,610231,National Teachers Elementary Academy,12,19,81,92,81,87,55,59,57,53,53,,,,, 649 
AUSL,610389,Orr Academy High School,,,,,,,,,,,,73,121,115,96, 405 
AUSL,610021,Pablo Casals Elementary School,12,26,38,61,47,47,51,45,48,41,42,,,,, 458 
AUSL,610282,Ronald E McNair Elementary School,13,12,59,50,42,53,49,36,35,38,34,,,,, 421 
AUSL,610396,Tarkington School of Excellence ES,13,27,98,94,114,113,108,97,122,123,103,,,,," 1,012 "
AUSL,609991,Theodore Herzl Elementary School,66,74,61,60,60,65,46,46,57,45,40,,,,, 620 
AUSL,609851,Thomas Chalmers Specialty Elementary School,13,27,34,54,43,48,33,21,34,46,35,,,,, 388 
AUSL,609955,Walter Q Gresham Elementary School,15,19,41,29,35,37,37,33,31,31,37,,,,, 345 
AUSL,609727,Wendell Phillips Academy High School,,,,,,,,,,,,201,181,135,126, 643 
AUSL,610172,William T Sherman Elementary School,6,20,37,32,33,31,41,32,24,38,27,,,,, 321 
AUSL,609844,William W Carter Elementary School,17,24,50,49,42,62,42,37,42,35,26,,,,, 426 
Service Leadership Academies,610513,Air Force Academy High School,,,,,,,,,,,,100,95,52,81, 328 
Service Leadership Academies,609754,Chicago Military Academy High School,,,,,,,,,,,,59,96,64,107, 326 
Service Leadership Academies,609760,George Washington Carver Military Academy HS,,,,,,,,,,,,121,139,116,114, 490 
Service Leadership Academies,610390,Hyman G Rickover Naval Academy High School,,,,,,,,,,,,145,231,69,132, 577 
Service Leadership Academies,609780,Marine Leadership Academy at Ames,,,,,,,,,,142,170,206,129,82,64, 793 
Service Leadership Academies,610502,Marine Military Math and Science Academy,,,,,,,,,,,,,,,,
Service Leadership Academies,610304,Phoenix Military Academy High School,,,,,,,,,,,,163,131,122,104, 520 
ISP,610084,Annie Keller Elementary Gifted Magnet School,,,,27,31,30,33,31,29,31,32,,,,, 244 
ISP,609951,Ariel Elementary Community Academy,8,26,52,61,54,55,56,58,62,53,57,,,,, 542 
ISP,609764,Benito Juarez Community Academy High School,,,,,,,,,,,,526,414,337,409," 1,686 "
ISP,610076,Bernhard Moos Elementary School,18,37,63,56,51,74,57,43,60,54,53,,,,, 566 
ISP,609821,Burnham Elementary Inclusive Academy,16,21,52,58,50,51,56,63,62,57,66,,,,, 552 
ISP,610148,Cesar E Chavez Multicultural Academic Center ES,23,54,103,120,115,115,100,84,99,100,70,,,,, 983 
ISP,610564,Disney II Magnet High School,,,,,,,,,,116,126,133,136,124,, 635 
ISP,610515,Disney II Magnet School,13,46,50,51,52,51,51,51,51,,,,,,, 416 
ISP,610533,Dr Jorge Prieto Math and Science,11,28,98,88,106,123,133,111,119,119,115,,,,," 1,051 "
ISP,609901,Edgebrook Elementary School,,,58,58,59,55,55,55,59,61,51,,,,, 511 
ISP,609973,Emiliano Zapata Elementary Academy,22,56,70,90,100,86,86,104,88,91,89,,,,, 882 
